LUCA_Pfams,Freq,ancestor,A,R,N,D,C,E,Q,G,H,I,L,K,M,F,P,S,T,W,Y,V,U,O,concat_length
PF01066,2,preLUCA,0.122742951,0.040557397,0.023808301,0.043707716,0.011509976,0.022065237,0.017834232,0.081887227,0.009901783,0.081494934,0.148431071,0.023438944,0.026825288,0.066480687,0.035750278,0.05318965,0.051145349,0.023011736,0.028113417,0.088103825,0,0,5842584
PF01070,1,LUCA,0.123519433,0.065893045,0.026153422,0.060445174,0.009063047,0.054047625,0.028089483,0.097951557,0.017901154,0.058739631,0.102541958,0.03944127,0.025433969,0.031807732,0.044165871,0.054812007,0.050629492,0.01538865,0.017690311,0.07628517,0,0,3405367
PF01074,1,LUCA,0.071857859,0.060221125,0.034952103,0.057750896,0.009881606,0.071247171,0.039038012,0.078781509,0.030836656,0.049308425,0.085159043,0.04399908,0.024461183,0.054013952,0.053533782,0.051974432,0.05085541,0.031989339,0.042579865,0.057558553,0,0,1455735
PF01087,1,LUCA,0.069988366,0.060228179,0.046904646,0.054722267,0.019731312,0.074845321,0.039991046,0.059531868,0.037456561,0.055856597,0.072188148,0.045718658,0.01423401,0.040076067,0.078188043,0.059002371,0.048878423,0.017393775,0.038457441,0.066606901,0,0,929183
PF01113,1,LUCA,0.1259318,0.039849138,0.034448212,0.065460258,0.013256178,0.061764973,0.026570239,0.098765425,0.016543581,0.074258941,0.076992944,0.050609876,0.022531446,0.030137317,0.036103003,0.048527187,0.057097587,0.004591111,0.016342344,0.100218439,0,0,1848572
PF01189,1,LUCA,0.098297734,0.068663791,0.034501171,0.062740298,0.023419329,0.064553757,0.036123486,0.075034047,0.020624301,0.050432347,0.11349103,0.054117206,0.017325424,0.031570666,0.053037083,0.050015408,0.049282072,0.013217946,0.019234598,0.064318305,0,0,3520895
PF01208,1,LUCA,0.093486363,0.055710013,0.028806469,0.064956923,0.015497064,0.065544846,0.031297158,0.077303148,0.022681507,0.063667119,0.097286597,0.045708739,0.029636592,0.043229607,0.059014774,0.042799298,0.045691083,0.01341598,0.031532135,0.072734586,0,3.21E-07,6230406
PF01255,1,LUCA,0.079981248,0.089474473,0.042943797,0.061767715,0.008102307,0.084490488,0.031599901,0.065691794,0.018120012,0.061223247,0.103945496,0.051171988,0.020909225,0.042365299,0.030763684,0.050194895,0.047701475,0.021388015,0.032901106,0.055263834,0,0,4202260
PF01263,1,LUCA,0.07522771,0.048608622,0.049801684,0.063879056,0.010715816,0.058775402,0.033310747,0.091896593,0.031430176,0.045872938,0.089086607,0.040620679,0.013141413,0.044852334,0.058255917,0.052402483,0.073041907,0.014941138,0.039460758,0.064678019,0,0,4737390
PF01300,1,LUCA,0.092745367,0.060149607,0.032222459,0.060275162,0.012316903,0.055778963,0.023258311,0.078014005,0.019484051,0.071036309,0.106081953,0.050003901,0.014735174,0.026972709,0.071160967,0.056537671,0.056523771,0.006928146,0.021081061,0.084693508,0,0,4460212
PF01314,2,preLUCA,0.084586364,0.054303751,0.037988005,0.062132847,0.019356408,0.086083726,0.020294098,0.09849258,0.018289909,0.055035768,0.09081301,0.057497241,0.026685883,0.036592729,0.041178493,0.046937645,0.052172555,0.015901097,0.0408305,0.054827392,0,0,3330525
PF01315,1,LUCA,0.146261,0.057349358,0.017080772,0.071080214,0.005726237,0.063297248,0.024348268,0.07123099,0.031274908,0.054023283,0.08031552,0.036053967,0.015929984,0.022557006,0.062819149,0.038478613,0.051929826,0.006300987,0.03671828,0.107224389,0,0,1551979
PF01321,1,LUCA,0.096404356,0.067822109,0.029634083,0.062183109,0.008320418,0.070599754,0.032980479,0.068393597,0.018699525,0.055969492,0.109712488,0.04404764,0.020868131,0.040451683,0.042095348,0.05547741,0.05242908,0.014566111,0.035710402,0.073634784,0,0,2556482
PF01381,2,preLUCA,0.08641873,0.083194646,0.034255943,0.037646401,0.005221778,0.080609948,0.050301882,0.059463009,0.010680933,0.070327892,0.127849245,0.072968105,0.017425302,0.020941236,0.025330975,0.078946393,0.053836958,0.006873673,0.02159994,0.056107009,0,0,5746127
PF01408,2,preLUCA,0.133021842,0.053095461,0.028127841,0.061630487,0.020503359,0.065744618,0.027932696,0.074099062,0.034658373,0.059862257,0.081549889,0.060332284,0.023857056,0.028110584,0.039287756,0.039302061,0.044281254,0.007815135,0.025578071,0.091209913,0,0,15588470
PF01409,2,preLUCA,0.054974714,0.06730182,0.030334588,0.065223204,0.013085707,0.073983761,0.030220368,0.07877063,0.032353123,0.058311063,0.082294704,0.042558698,0.031342095,0.067916932,0.05963768,0.045687516,0.053515172,0.014041276,0.030934514,0.067512433,0,0,4543889
PF01411,1,LUCA,0.070602097,0.055591809,0.035655354,0.072030831,0.009056071,0.084465727,0.033336729,0.084212543,0.02314888,0.057838313,0.082275921,0.057343133,0.021335429,0.051646661,0.042210217,0.047561941,0.055633409,0.012735653,0.032493327,0.070825955,0,0,9206752
PF01416,2,preLUCA,0.099929371,0.074145574,0.031300344,0.056342454,0.01346226,0.056252857,0.038196681,0.080099177,0.034164822,0.052518634,0.084495543,0.042520496,0.017642282,0.047238537,0.041245161,0.050945225,0.056450407,0.012686482,0.02857048,0.081793214,0,0,2288026
PF01433,1,LUCA,0.085465692,0.048933747,0.046871302,0.066272037,0.004417427,0.072181307,0.035301892,0.069253235,0.030343703,0.042592004,0.076912069,0.044903354,0.031378656,0.062420013,0.034051493,0.053404528,0.05632333,0.032936059,0.053231131,0.052807022,0,0,4423389
PF01472,2,preLUCA,0.106859902,0.057886228,0.026563152,0.068250702,0.009736239,0.07018706,0.018794683,0.109046158,0.018071515,0.073965542,0.076225092,0.062879297,0.02128668,0.02375285,0.029580772,0.058527725,0.033857653,0.002218366,0.011710292,0.12060009,0,0,1432586
PF01488,1,LUCA,0.125663881,0.061920513,0.03877306,0.064259844,0.009029676,0.064501489,0.025972879,0.074541213,0.017530723,0.07439632,0.110409857,0.048810914,0.015532126,0.025161942,0.031418541,0.0526964,0.051852745,0.003031548,0.016215463,0.088280865,0,0,2139501
PF01493,1,LUCA,0.090884791,0.049278563,0.052839016,0.049931399,0.014558651,0.055791029,0.017505056,0.175735176,0.018701843,0.060877725,0.063318965,0.033638083,0.028785044,0.036833098,0.023864244,0.04882013,0.05439984,0.003117441,0.031909495,0.08921041,0,0,2139896
PF01496,2,preLUCA,0.070083362,0.036395319,0.032470684,0.041725111,0.004407424,0.081571416,0.02251991,0.074548954,0.017334705,0.079909492,0.115141463,0.062957029,0.027464136,0.071054757,0.043776757,0.056846963,0.0461799,0.009713119,0.037112439,0.068787061,0,0,1203424
PF01497,1,LUCA,0.102439971,0.042444297,0.03874319,0.069314309,0.00528614,0.073904195,0.036809124,0.073173376,0.012890306,0.061742291,0.093005192,0.051766317,0.01739958,0.031246102,0.05129969,0.057295378,0.053857496,0.01367261,0.031471983,0.082238455,0,0,8274280
PF01509,1,LUCA,0.080325407,0.063545504,0.012699226,0.053651651,0.013415628,0.073514404,0.03276589,0.084552229,0.020596436,0.064739836,0.094278214,0.070748035,0.016319747,0.02983659,0.045307122,0.045209364,0.080054844,0.002369903,0.035197509,0.08087246,0,0,2025399
PF01523,1,LUCA,0.116287512,0.068710852,0.04080167,0.056163409,0.00669182,0.080347921,0.029176965,0.090228302,0.010305223,0.066854137,0.066759727,0.047242856,0.011063869,0.03519668,0.006115249,0.089820319,0.055416002,0.008840755,0.025083648,0.088893085,0,0,889743
PF01545,1,LUCA,0.13278246,0.035106973,0.025618774,0.035968604,0.003970859,0.031369996,0.01434809,0.08516981,0.023487147,0.092496505,0.14072294,0.028311681,0.023749667,0.04760823,0.022953091,0.072739618,0.042273151,0.018792546,0.026859071,0.095670788,0,0,5656711
PF01547,1,LUCA,0.104632144,0.027345896,0.044560235,0.071920712,0.003253331,0.058817278,0.040695955,0.086273636,0.010628582,0.044209338,0.078612946,0.062945493,0.024407166,0.047290524,0.054672909,0.053038638,0.058658562,0.026233828,0.040574373,0.061228455,0,0,9532692
PF01548,1,LUCA,0.095955016,0.082270091,0.033508237,0.059917343,0.014453418,0.056401497,0.041054774,0.056928421,0.031708039,0.056295307,0.104222236,0.065997854,0.019352251,0.030910859,0.034236469,0.050308907,0.050571614,0.011477078,0.02672516,0.07770543,0,0,1987004
PF01566,1,LUCA,0.120376881,0.033186827,0.026450532,0.024556928,0.006655479,0.027896163,0.025027194,0.090814236,0.01234674,0.089066705,0.140085776,0.028554768,0.031420021,0.056590037,0.034368646,0.060605758,0.056976003,0.018000611,0.02599211,0.091028584,0,0,4306076
PF01568,2,preLUCA,0.080069586,0.071208831,0.045726141,0.056963117,0.010070056,0.055588938,0.030706254,0.083529417,0.033961438,0.05009019,0.07744924,0.040811143,0.023504441,0.028802026,0.055633641,0.055556426,0.071733364,0.017066061,0.027217105,0.084312588,0,0,3444966
PF01584,1,LUCA,0.06565612,0.059661218,0.031501174,0.06138086,0.007098169,0.068930151,0.036430242,0.079704117,0.015792594,0.087475503,0.113744273,0.035820521,0.020513708,0.029444091,0.050189044,0.04926545,0.045152394,0.005522985,0.018945179,0.117772206,0,0,3606564
PF01593,1,LUCA,0.100097792,0.068153457,0.028317709,0.058669665,0.008782308,0.060875113,0.029988564,0.085875094,0.025296923,0.045657603,0.102887322,0.039592814,0.019088598,0.044113672,0.053058492,0.057735744,0.053831708,0.015561023,0.033116602,0.069299797,0,0,14386651
PF01594,1,LUCA,0.094044762,0.031856228,0.025518574,0.023840488,0.004215068,0.026896163,0.028686189,0.078571588,0.00987418,0.105405396,0.161193175,0.027015187,0.024464318,0.06681026,0.042002011,0.052929142,0.047241789,0.016271579,0.027345604,0.105818299,0,0,10728891
PF01609,2,preLUCA,0.077230391,0.081871254,0.037081911,0.059033088,0.01223357,0.061523615,0.034350516,0.061999295,0.028467072,0.059994137,0.091849455,0.075163633,0.017573677,0.038059054,0.031965369,0.054646417,0.055749877,0.015599666,0.037270003,0.068338,0,0,5779098
PF01627,1,LUCA,0.122247706,0.055416602,0.030473835,0.06343068,0.009916002,0.098609743,0.048424171,0.059043214,0.031800583,0.050633729,0.139152764,0.040915219,0.024590825,0.035185814,0.020964213,0.054861259,0.044939771,0.004951249,0.011970266,0.052472354,0,0,2369705
PF01656,1,LUCA,0.10334384,0.055265112,0.033428903,0.063429914,0.015617038,0.055705136,0.025164484,0.089767069,0.017963002,0.065651825,0.103659032,0.049568459,0.021559929,0.028345669,0.045669258,0.05839571,0.051578841,0.004992801,0.021076012,0.089817967,0,0,6424650
PF01663,1,LUCA,0.084350755,0.054221551,0.037770832,0.071825624,0.007662112,0.058275812,0.028643547,0.079450712,0.030461963,0.050870288,0.089871403,0.046404667,0.019071673,0.041182942,0.053109319,0.057138999,0.058179611,0.019613526,0.041648016,0.070246649,0,0,6590350
PF01699,2,preLUCA,0.115131877,0.025811302,0.028599759,0.021804523,0.005121068,0.029919379,0.013462901,0.09574382,0.008546743,0.103318134,0.161248812,0.02003284,0.024713615,0.053349311,0.028010459,0.070153821,0.053438211,0.010534475,0.022476208,0.108582744,0,0,4758187
PF01784,2,preLUCA,0.109009056,0.043514124,0.036741477,0.057045588,0.013200866,0.070866818,0.031088056,0.088264038,0.035833979,0.062757621,0.104489677,0.049158984,0.014429742,0.034387449,0.040965161,0.044085755,0.04914252,0.009479993,0.02812387,0.077415225,0,0,3036922
PF01796,1,LUCA,0.078504062,0.055215393,0.016568343,0.055077427,0.006727225,0.073200647,0.023394903,0.086998631,0.016826339,0.059421977,0.07627591,0.03620919,0.021093629,0.035519359,0.073230999,0.040902795,0.065880168,0.015147293,0.033329838,0.130475872,0,0,724816
PF01817,1,LUCA,0.093305625,0.099771438,0.034087038,0.064261973,0.004874334,0.103205414,0.052494073,0.039735767,0.016476597,0.087593715,0.106478023,0.070637283,0.020535553,0.025185338,0.024959936,0.044622053,0.027180665,0.004871772,0.015959195,0.063764208,0,0,1171237
PF01837,1,LUCA,0.076085279,0.048573417,0.048145758,0.053334599,0.021165307,0.064336054,0.021395584,0.100117669,0.014801038,0.067298033,0.078903018,0.049214905,0.025465933,0.034076042,0.049657747,0.057370785,0.067571329,0.005756943,0.039306636,0.077423926,0,0,790350
PF01842,1,LUCA,0.091267809,0.057204108,0.040892296,0.061735874,0.005242265,0.066800938,0.035650879,0.070997802,0.024703422,0.088094301,0.095014888,0.042732133,0.020709618,0.033810193,0.035786535,0.061013505,0.055463893,0.002364657,0.017010018,0.093504865,0,0,2358904
PF01882,1,LUCA,0.099737558,0.088648058,0.026295918,0.07682196,0.007177194,0.069417764,0.032711034,0.065073459,0.021628097,0.042282171,0.091391382,0.042065979,0.024470252,0.040822488,0.025353937,0.065306638,0.049113844,0.018107639,0.04139115,0.072183479,0,0,2590288
PF01884,2,preLUCA,0.109720506,0.029906549,0.031012737,0.060924549,0.006454663,0.066794099,0.02510722,0.090295109,0.015852436,0.084128177,0.085674735,0.051140795,0.02338697,0.028391571,0.049117023,0.059140261,0.05346107,0.00807754,0.034092693,0.087321297,0,0,1139951
PF01885,1,LUCA,0.083812117,0.084395618,0.029332383,0.061219495,0.003942454,0.071224237,0.028648355,0.071246091,0.045152464,0.056826849,0.09812646,0.053745441,0.017255886,0.028150084,0.040211284,0.057755642,0.047552029,0.013422701,0.029612114,0.078368296,0,0,457583
PF01891,1,LUCA,0.135047813,0.02226062,0.019189074,0.017367292,0.009691978,0.020771792,0.019553588,0.104902796,0.018477403,0.084531023,0.141104904,0.022849208,0.029019914,0.063049927,0.0454917,0.05284905,0.054024648,0.016717162,0.02359086,0.099509247,0,0,1267440
PF01902,1,LUCA,0.071545798,0.045168256,0.030394817,0.058779917,0.013671405,0.092818427,0.029515206,0.077977326,0.023406154,0.069698758,0.108178514,0.065561274,0.02323268,0.042836782,0.032202987,0.060244017,0.041555516,0.016918481,0.031195969,0.065097715,0,0,1389250
PF01903,1,LUCA,0.111431719,0.065930182,0.021724503,0.062010891,0.009287739,0.076316682,0.025055523,0.072197273,0.037471143,0.054512886,0.09934535,0.033792749,0.014976375,0.035561338,0.06347364,0.048582598,0.046348074,0.007194429,0.024608467,0.090178437,0,0,1324219
PF01904,1,LUCA,0.08748068,0.074038108,0.039531156,0.054376935,0.008920392,0.070480414,0.032879547,0.048657721,0.029796623,0.039812941,0.094833453,0.054025254,0.015115694,0.06394442,0.060022297,0.05068824,0.049923334,0.023106769,0.042443076,0.059922947,0,0,2274788
PF01905,2,preLUCA,0.074169639,0.059434743,0.048185314,0.054680428,0.00700188,0.075964596,0.027570386,0.071898863,0.017179751,0.060305143,0.082134761,0.072746052,0.020436979,0.040684405,0.040765642,0.066703546,0.052587601,0.007620831,0.041697937,0.078231503,0,0,258502
PF01909,1,LUCA,0.06214087,0.061963637,0.024561713,0.085483976,0.006531816,0.079497283,0.019268374,0.069398264,0.016948779,0.078135817,0.103183039,0.069871421,0.011526545,0.046621227,0.034276191,0.067774709,0.035861078,0.008372347,0.033729456,0.084853458,0,0,1861963
PF01913,1,LUCA,0.099369615,0.058531654,0.021608386,0.054896211,0.023803614,0.079630664,0.026451333,0.090314623,0.009608324,0.074865287,0.061494824,0.052245907,0.022921903,0.05151675,0.047922678,0.040972416,0.072600246,0.014937375,0.025595478,0.070712712,0,0,386748
PF01925,3,preLUCA,0.117058177,0.034960165,0.019977675,0.016734517,0.005608242,0.014480052,0.017297445,0.120790871,0.012846787,0.085263758,0.147125315,0.031145723,0.029155538,0.059106347,0.040266267,0.061333738,0.052433056,0.014037578,0.02274346,0.097635287,0,0,9455905
PF01926,4,preLUCA,0.085375394,0.056990909,0.044491906,0.06445967,0.007673243,0.059243891,0.025785402,0.078105322,0.017981344,0.075504283,0.101017564,0.05702739,0.014742355,0.034618994,0.042138797,0.050833041,0.063157937,0.005142347,0.017871197,0.097839012,0,0,12773739
PF01933,1,LUCA,0.090270505,0.052203453,0.032737395,0.067629037,0.00893255,0.059921715,0.024605535,0.093590654,0.022089022,0.069601098,0.105278704,0.042418882,0.019851466,0.027579826,0.050230551,0.056237196,0.056904087,0.009552316,0.021277392,0.089088615,0,0,2376701
PF01939,1,LUCA,0.076190057,0.078529584,0.022637663,0.073581213,0.012513135,0.084362671,0.029946955,0.075265069,0.022518106,0.060464004,0.108355724,0.052342988,0.014999906,0.022694295,0.046075723,0.048208858,0.045788788,0.008372713,0.027462702,0.089689846,0,0,794605
PF01940,1,LUCA,0.124439752,0.031401059,0.02997621,0.027212344,0.009272969,0.031767286,0.01402676,0.12450842,0.007716506,0.073838983,0.12670864,0.03480296,0.018756232,0.05872928,0.024438465,0.069671727,0.064511653,0.016384343,0.026899049,0.084937362,0,0,699021
PF01943,2,preLUCA,0.094050936,0.035607843,0.030812444,0.021217594,0.005330566,0.025559368,0.025834042,0.070336291,0.008887991,0.098368906,0.144735123,0.035648698,0.027112533,0.077379053,0.03125746,0.072829459,0.052548661,0.012667248,0.044995042,0.084820743,0,0,5923386
PF01949,1,LUCA,0.079832118,0.079414803,0.028195399,0.065705924,0.009818845,0.062578821,0.017597076,0.081161275,0.017536409,0.09040838,0.091073878,0.055848472,0.018143078,0.038345154,0.039477603,0.053120301,0.048730224,0.00789405,0.024599507,0.090518684,0,0,543954
PF01963,1,LUCA,0.091412855,0.053137594,0.030879296,0.062756572,0.00393325,0.081911217,0.043889998,0.067028936,0.018479937,0.060699008,0.115149641,0.065299925,0.033924866,0.033322323,0.035545923,0.053028467,0.043840128,0.012335995,0.026639788,0.066784281,0,0,1704443
PF01966,1,LUCA,0.099915365,0.055414091,0.027398488,0.06638975,0.01104021,0.078267986,0.027637875,0.069624272,0.059035579,0.068137311,0.112689222,0.050295493,0.02127216,0.029713667,0.035725719,0.049756159,0.038755524,0.007497074,0.027442967,0.063991088,0,0,8768221
PF01967,1,LUCA,0.118953262,0.047831944,0.015287986,0.05594713,0.017449428,0.069090744,0.021469325,0.072582194,0.018104475,0.075485453,0.080439202,0.073301252,0.037570963,0.010800807,0.03394509,0.043095833,0.084050139,0.004130139,0.012135083,0.108329552,0,0,1406006
PF01979,1,LUCA,0.11318696,0.052364733,0.031412053,0.062422401,0.012856908,0.063207181,0.025133211,0.086888207,0.035526019,0.055821747,0.096507695,0.040841739,0.026871369,0.031867704,0.047098143,0.051445703,0.061029388,0.010120051,0.022407927,0.072990861,0,3.73E-08,26785833
PF01996,1,LUCA,0.096496656,0.060164495,0.034738657,0.071433736,0.010750587,0.068341282,0.022131763,0.09042994,0.012742467,0.085090451,0.091031328,0.055483404,0.014238636,0.024042299,0.043461212,0.057855584,0.047643116,0.005980505,0.017591807,0.090352073,0,0,1438340
PF02016,1,LUCA,0.102530133,0.056459482,0.032854677,0.066126336,0.011881629,0.046405429,0.028601451,0.089582219,0.028674125,0.073709468,0.102032136,0.046569839,0.016301648,0.042210581,0.042962342,0.057769999,0.046619877,0.014107126,0.032876122,0.06172538,0,0,839363
PF02036,1,LUCA,0.091326901,0.052938563,0.031677584,0.079571448,0.007986563,0.065207341,0.036641231,0.081588727,0.012815125,0.053547949,0.117515505,0.062287991,0.029328594,0.043641669,0.032836318,0.05029989,0.055919453,0.010830867,0.015998643,0.068039637,0,0,666244
PF02056,1,LUCA,0.095801193,0.062045837,0.034310745,0.05909084,0.020183208,0.057174796,0.026161994,0.091727323,0.017560028,0.07852847,0.098246324,0.043639067,0.029066409,0.033709832,0.041386148,0.03672755,0.059316436,0.009058215,0.026004178,0.080261407,0,0,988495
PF02148,1,LUCA,0.069068612,0.055915222,0.013313148,0.050673645,0.106999673,0.077315156,0.026702371,0.080845043,0.087067988,0.023393103,0.050080259,0.027295757,0.013716346,0.026938204,0.048444644,0.064298701,0.048786982,0.04763064,0.022655174,0.058859329,0,0,131449
PF02163,1,LUCA,0.088186087,0.046213216,0.03538005,0.049728871,0.002623721,0.055602193,0.033945548,0.101045071,0.013342886,0.077607039,0.100565354,0.051283806,0.021312938,0.042282091,0.048781371,0.056369973,0.051508862,0.009851877,0.021217072,0.093151976,0,0,12903430
PF02190,1,LUCA,0.079676265,0.059399767,0.030253439,0.061560102,0.006547138,0.085903586,0.040541448,0.05158666,0.015865551,0.066793683,0.1265787,0.05407101,0.023819671,0.033100994,0.058350391,0.048916858,0.047193209,0.004025697,0.021278636,0.084537194,0,0,2857890
PF02254,2,preLUCA,0.11017674,0.06058543,0.041761162,0.075011533,0.010611927,0.06915377,0.027044356,0.072161322,0.020871174,0.08337273,0.096057386,0.041652886,0.016413984,0.023715113,0.025230602,0.049460162,0.048397144,0.002728286,0.020739288,0.104855006,0,0,5421353
PF02272,1,LUCA,0.116452146,0.054438406,0.036660882,0.057820238,0.006939856,0.074689119,0.03629418,0.108502665,0.019426444,0.063797047,0.092936045,0.068584794,0.017670243,0.030002972,0.023229955,0.057778815,0.036476863,0.00516743,0.015374202,0.077757698,0,0,5238581
PF02274,2,preLUCA,0.081256319,0.069002201,0.036119252,0.068391095,0.011165485,0.075681175,0.025492884,0.07688819,0.027416589,0.057152821,0.102881797,0.037137496,0.02754057,0.038962815,0.047318332,0.044239605,0.057335193,0.01054798,0.025928817,0.079541382,0,0,1250192
PF02289,1,LUCA,0.112343177,0.033978064,0.02945067,0.067128283,0.014886131,0.075021073,0.020536579,0.088242721,0.014893668,0.058467947,0.085329561,0.047233629,0.018287957,0.041509064,0.04803635,0.063329494,0.054431733,0.006463219,0.03377707,0.08665361,0,0,796043
PF02310,1,LUCA,0.095452138,0.038700909,0.029152351,0.065111827,0.010342648,0.069262177,0.027278873,0.095174037,0.025400527,0.083690413,0.093008278,0.050861161,0.025650056,0.030832386,0.040370573,0.042558131,0.048195709,0.004652795,0.024427597,0.099877415,0,0,4724902
PF02361,2,preLUCA,0.09979276,0.068964972,0.018389759,0.022750957,0.007362425,0.031083709,0.020987836,0.064104118,0.012306281,0.081263348,0.158669105,0.032113322,0.03210904,0.064789868,0.04314362,0.061966172,0.057815112,0.01402329,0.026881926,0.081482379,0,0,3036092
PF02371,1,LUCA,0.107739197,0.087165,0.032506808,0.030261818,0.013055106,0.034718449,0.031530725,0.097331715,0.02254263,0.062716568,0.095165625,0.056231312,0.019486678,0.034625721,0.040931215,0.078607195,0.054233596,0.010640115,0.031463213,0.059047311,0,0,1229404
PF02424,1,LUCA,0.107495343,0.05588912,0.034879641,0.064875825,0.008764822,0.059042639,0.032312217,0.087188543,0.020497152,0.060987516,0.089724434,0.046250651,0.019645779,0.032189849,0.043496058,0.066904306,0.057004032,0.014560111,0.025732092,0.07255987,0,0,3456773
PF02441,1,LUCA,0.125433883,0.046823873,0.031737643,0.046537112,0.013963435,0.05506125,0.023495565,0.072037774,0.024752214,0.068521679,0.10422795,0.043739774,0.031073071,0.024481536,0.050728914,0.056469321,0.06348741,0.009464337,0.020380785,0.087582475,0,0,4041699
PF02475,1,LUCA,0.079398536,0.06560085,0.044617115,0.054301756,0.011917853,0.077710636,0.016240846,0.069803972,0.025288021,0.084252983,0.08698231,0.071724687,0.021027388,0.039185484,0.039642104,0.046593261,0.038523766,0.004690922,0.034166128,0.088331383,0,0,1443213
PF02492,1,LUCA,0.089686079,0.051248461,0.039809233,0.079797384,0.019570886,0.071541715,0.026702961,0.074902586,0.017097641,0.072869404,0.116529925,0.041669925,0.018392921,0.028827209,0.039030619,0.04559112,0.059246199,0.002593238,0.013085648,0.091806846,0,0,3733556
PF02511,2,preLUCA,0.089402161,0.07925721,0.034693853,0.047872899,0.011913796,0.084172834,0.042376471,0.044642652,0.032627998,0.055508913,0.09109658,0.052466472,0.026365047,0.042003643,0.038365094,0.062397881,0.046915789,0.0125732,0.044530665,0.060816841,0,0,1437661
PF02518,1,LUCA,0.067343444,0.059685013,0.04170712,0.055458863,0.006999375,0.066275384,0.035500691,0.11098994,0.024186582,0.075387131,0.092065681,0.048636841,0.01442514,0.041013341,0.036299978,0.061721896,0.061683807,0.00503874,0.017537254,0.078043781,0,0,43371156
PF02553,1,LUCA,0.127458143,0.003348554,0.018630137,0.040233384,0.003581938,0.103896499,0.033678336,0.093932014,0.005438864,0.087234906,0.11723998,0.01281583,0.011679351,0.062161339,0.069528158,0.063926941,0.033688483,0.025611365,0.026504313,0.059411466,0,0,98550
PF02579,1,LUCA,0.096740511,0.041843272,0.041706232,0.054996683,0.015569195,0.07520462,0.036572691,0.102689015,0.025463965,0.073659585,0.070233586,0.054286016,0.017746069,0.044323332,0.036264654,0.0499638,0.041523108,0.004399832,0.02433005,0.092483783,0,0,824577
PF02610,1,LUCA,0.100448517,0.048843438,0.035785799,0.064990223,0.011476579,0.069968822,0.038905351,0.083899518,0.027638132,0.048866024,0.089068365,0.0458429,0.036888197,0.042547,0.030987024,0.046007087,0.051903917,0.019153404,0.031189434,0.075590269,0,0,1151127
PF02621,2,preLUCA,0.095611202,0.057730608,0.029008324,0.064222581,0.011441577,0.066693738,0.027975217,0.072559789,0.025562951,0.058938704,0.119296388,0.042431425,0.01989264,0.040555343,0.048082106,0.056203382,0.045467369,0.014460134,0.036337663,0.067528861,0,0,1782971
PF02624,1,LUCA,0.10574178,0.063096571,0.032848835,0.067021855,0.012488774,0.078942103,0.026199423,0.07122363,0.021918649,0.049626153,0.098440959,0.030169386,0.017215043,0.039609621,0.057141951,0.059651749,0.051015089,0.014283059,0.030517753,0.072847618,0,0,1544347
PF02637,1,LUCA,0.11160181,0.037937979,0.04429575,0.059963726,0.003975963,0.0926169,0.036871298,0.073191659,0.006458741,0.069237063,0.099462344,0.093202192,0.024838668,0.027122856,0.03028226,0.048360533,0.040498684,0.007229214,0.012346853,0.080505505,0,0,2386843
PF02656,1,LUCA,0.138859286,0.087271659,0.020197155,0.015032586,0.007784427,0.030734653,0.020330368,0.08094916,0.016976131,0.064697162,0.155893484,0.015684989,0.018263858,0.059385717,0.021761555,0.046528945,0.068092388,0.026174666,0.02251643,0.08286538,0,0,292764
PF02682,1,LUCA,0.097008704,0.067551744,0.021635604,0.055205493,0.009916256,0.05940201,0.033351966,0.085411752,0.020980341,0.056262272,0.105075598,0.023342421,0.016727106,0.033040754,0.078370292,0.049649942,0.054667402,0.015155371,0.036380503,0.080864469,0,0,1339921
PF02683,1,LUCA,0.111496538,0.031502945,0.018627977,0.011319333,0.012544181,0.014568006,0.019625694,0.115826227,0.007254808,0.075176161,0.160575906,0.027371459,0.031157962,0.077735941,0.04557169,0.066642936,0.049809778,0.013535469,0.023464962,0.086192027,0,0,3733524
PF02687,1,LUCA,0.117937055,0.0445784,0.021806543,0.013543384,0.006959986,0.026486766,0.022194731,0.092766478,0.005531799,0.104912156,0.15525653,0.024909465,0.03035659,0.055861868,0.029199567,0.063821643,0.050243332,0.013646488,0.021705823,0.098281394,0,0,15518278
PF02730,2,preLUCA,0.089588192,0.05110665,0.032188588,0.052274916,0.009836399,0.060890046,0.012582044,0.131782124,0.015148805,0.064084557,0.089912833,0.06337896,0.018862851,0.031847936,0.044001541,0.061339464,0.054212823,0.012474934,0.029717342,0.074768997,0,0,1811232
PF02737,1,LUCA,0.117224477,0.046379499,0.030759898,0.059013585,0.008751662,0.07292673,0.027633745,0.070462827,0.017920928,0.070741556,0.088365539,0.06103677,0.024594756,0.03217842,0.039061441,0.055377375,0.063048399,0.004039711,0.012496582,0.097986099,0,0,5105316
PF02738,1,LUCA,0.116053619,0.067319211,0.032736083,0.054666468,0.010832589,0.058852274,0.032411407,0.088916175,0.032136143,0.046444186,0.075827251,0.03679814,0.027093061,0.037483567,0.052086114,0.04750392,0.058401007,0.012028315,0.03275729,0.07965318,0,0,4573791
PF02741,1,LUCA,0.114358132,0.028288986,0.042191789,0.041332726,0.016878218,0.068614879,0.015951532,0.123058967,0.013021199,0.076231241,0.065712096,0.070959146,0.020289427,0.039376666,0.042865515,0.059380573,0.044062694,0.002982929,0.028469314,0.085973973,0,0,399272
