"PFAM_IDs","robust_classifications"
"PF01965","LUCA"
"PF01966","preLUCA"
"PF01967","LBCA"
"PF01968","LUCA"
"PF01969","LBCA"
"PF01970","LACA"
"PF01972","LUCA"
"PF01973","post-LBCA"
"PF01974","LACA"
"PF01975","LBCA"
"PF01976","LACA"
"PF01977","LUCA"
"PF01978","LUCA"
"PF01979","preLUCA"
"PF01980","LUCA"
"PF01981","Inspect"
"PF01982","LACA"
"PF01983","LACA"
"PF01984","LACA"
"PF01985","post-LBCA"
"PF01986","LUCA"
"PF01987","LUCA"
"PF01988","LACA"
"PF01989","LACA"
"PF01990","LUCA"
"PF01991","Inspect"
"PF01992","LUCA"
"PF01993","Euryarchaeota"
"PF01994","LACA"
"PF01995","Euryarchaeota"
"PF01996","LACA"
"PF01997","LACA"
"PF01998","LACA"
"PF02001","LACA"
"PF02002","LACA"
"PF02005","Inspect"
"PF02006","LACA"
"PF02007","LACA"
"PF02011","Terrabacteria"
"PF02012","LBCA"
"PF02013","Proteobacteria"
"PF02016","LUCA"
"PF02018","LBCA"
"PF02021","LBCA"
"PF02026","LBCA"
"PF02028","LBCA"
"PF02031","Terrabacteria"
"PF02033","LBCA"
"PF02036","LUCA"
"PF02040","Inspect"
"PF02049","post-LBCA"
"PF02050","LBCA"
"PF02055","LBCA"
"PF02056","unclassifiable"
"PF02057","Terrabacteria"
"PF02065","LBCA"
"PF02069","Proteobacteria"
"PF02073","LBCA"
"PF02074","LBCA"
"PF02075","LBCA"
"PF02080","LUCA"
"PF02081","Terrabacteria"
"PF02082","LBCA"
"PF02085","LBCA"
"PF02086","LUCA"
"PF02089","unclassifiable"
"PF02091","post-LBCA"
"PF02092","Proteobacteria"
"PF02096","Terrabacteria"
"PF02104","Terrabacteria"
"PF02107","post-LBCA"
"PF02108","post-LBCA"
"PF02110","unclassifiable"
"PF02112","Proteobacteria"
"PF02113","LBCA"
"PF02119","post-LBCA"
"PF02120","LBCA"
"PF02126","LBCA"
"PF02127","LBCA"
"PF02128","LBCA"
"PF02129","LUCA"
"PF02130","Terrabacteria"
"PF02132","unclassifiable"
"PF02133","LUCA"
"PF02136","post-LBCA"
"PF02142","LUCA"
"PF02146","LUCA"
"PF02148","post-LBCA"
"PF02150","LACA"
"PF02151","LUCA"
"PF02152","LBCA"
"PF02153","LUCA"
"PF02154","post-LBCA"
"PF02156","LUCA"
"PF02163","LUCA"
"PF02167","Proteobacteria"
"PF02169","Proteobacteria"
"PF02171","LUCA"
"PF02178","post-LBCA"
"PF02190","LBCA"
"PF02195","LUCA"
"PF02201","post-LBCA"
"PF02203","post-LBCA"
"PF02211","post-LBCA"
"PF02219","LUCA"
"PF02222","LBCA"
"PF02223","LUCA"
"PF02224","Terrabacteria"
"PF02225","LBCA"
"PF02229","unclassifiable"
"PF02230","LBCA"
"PF02233","post-LBCA"
"PF02237","LBCA"
"PF02239","LBCA"
"PF02240","Euryarchaeota"
"PF02241","Euryarchaeota"
"PF02245","LBCA"
"PF02249","Euryarchaeota"
"PF02253","LBCA"
"PF02254","LUCA"
"PF02255","Terrabacteria"
"PF02256","LBCA"
"PF02261","LBCA"
"PF02264","post-LBCA"
"PF02265","LBCA"
"PF02272","LUCA"
"PF02274","LUCA"
"PF02275","LBCA"
"PF02276","post-LBCA"
"PF02277","LBCA"
"PF02278","LBCA"
"PF02281","LBCA"
"PF02283","LBCA"
"PF02286","post-LBCA"
"PF02287","unclassifiable"
"PF02288","post-LBCA"
"PF02289","Asgard"
"PF02293","post-LBCA"
"PF02294","TACK"
"PF02300","Proteobacteria"
"PF02302","post-LBCA"
"PF02308","LUCA"
"PF02310","LUCA"
"PF02311","LBCA"
"PF02313","Proteobacteria"
"PF02315","Proteobacteria"
"PF02316","Proteobacteria"
"PF02317","unclassifiable"
"PF02321","LBCA"
"PF02322","LBCA"
"PF02325","LBCA"
"PF02332","post-LBCA"
"PF02333","Proteobacteria"
"PF02335","LBCA"
"PF02341","Terrabacteria"
"PF02342","post-LBCA"
"PF02347","LBCA"
"PF02348","LUCA"
"PF02350","LUCA"
"PF02353","LBCA"
"PF02355","LBCA"
"PF02357","LBCA"
"PF02358","LBCA"
"PF02359","Terrabacteria"
"PF02361","LUCA"
"PF02366","LBCA"
"PF02367","LBCA"
"PF02368","LBCA"
"PF02369","LBCA"
"PF02371","LBCA"
"PF02374","LUCA"
"PF02378","post-LBCA"
"PF02381","LUCA"
"PF02384","preLUCA"
"PF02386","LUCA"
"PF02388","LBCA"
"PF02390","LBCA"
"PF02391","LBCA"
"PF02392","Terrabacteria"
"PF02397","LBCA"
"PF02401","LBCA"
"PF02403","LBCA"
"PF02405","LBCA"
"PF02406","post-LBCA"
"PF02410","LBCA"
"PF02411","LBCA"
"PF02412","LUCA"
"PF02413","Proteobacteria"
"PF02415","LBCA"
"PF02416","LBCA"
"PF02417","LUCA"
"PF02419","Terrabacteria"
"PF02421","LUCA"
"PF02423","LUCA"
"PF02424","LBCA"
"PF02426","LBCA"
"PF02427","Terrabacteria"
"PF02433","LBCA"
"PF02435","post-LBCA"
"PF02436","LBCA"
"PF02441","LUCA"
"PF02445","LBCA"
"PF02446","post-LBCA"
"PF02447","LBCA"
"PF02449","LUCA"
"PF02450","LBCA"
"PF02452","LBCA"
"PF02457","LBCA"
"PF02463","LUCA"
"PF02464","LBCA"
"PF02465","LBCA"
"PF02467","Terrabacteria"
"PF02468","Terrabacteria"
"PF02469","LUCA"
"PF02470","post-LBCA"
"PF02472","LBCA"
"PF02475","LUCA"
"PF02481","LBCA"
"PF02482","LBCA"
"PF02485","LBCA"
"PF02486","LBCA"
"PF02491","LBCA"
"PF02492","LUCA"
"PF02493","LBCA"
"PF02494","LBCA"
"PF02498","LBCA"
"PF02501","Proteobacteria"
"PF02502","post-LBCA"
"PF02503","Inspect"
"PF02504","post-LBCA"
"PF02505","Euryarchaeota"
"PF02507","Terrabacteria"
"PF02508","LBCA"
"PF02511","LUCA"
"PF02514","LBCA"
"PF02515","LUCA"
"PF02516","LACA"
"PF02517","preLUCA"
"PF02518","LUCA"
"PF02521","Proteobacteria"
"PF02522","LBCA"
"PF02525","LBCA"
"PF02527","LBCA"
"PF02529","Terrabacteria"
"PF02530","Proteobacteria"
"PF02531","Terrabacteria"
"PF02532","Terrabacteria"
"PF02533","Terrabacteria"
"PF02534","LBCA"
"PF02535","LUCA"
"PF02537","LUCA"
"PF02538","LBCA"
"PF02540","LUCA"
"PF02541","LBCA"
"PF02542","LBCA"
"PF02543","LBCA"
"PF02545","Terrabacteria"
"PF02547","LBCA"
"PF02548","LBCA"
"PF02550","LBCA"
"PF02552","unclassifiable"
"PF02553","LBCA"
"PF02554","LUCA"
"PF02556","unclassifiable"
"PF02557","LBCA"
"PF02558","LUCA"
"PF02559","post-LBCA"
"PF02560","post-LBCA"
"PF02561","Proteobacteria"
"PF02562","LUCA"
"PF02563","LBCA"
"PF02565","unclassifiable"
"PF02566","LUCA"
"PF02567","LUCA"
"PF02568","LUCA"
"PF02569","LBCA"
"PF02570","Inspect"
"PF02571","post-LBCA"
"PF02572","LBCA"
"PF02574","LBCA"
"PF02575","LBCA"
"PF02576","LBCA"
"PF02577","Terrabacteria"
"PF02578","post-LBCA"
"PF02579","LBCA"
"PF02580","LBCA"
"PF02581","unclassifiable"
"PF02582","LBCA"
"PF02583","post-LBCA"
"PF02585","LUCA"
"PF02586","LUCA"
"PF02588","post-LBCA"
"PF02589","unclassifiable"
"PF02590","LBCA"
"PF02591","post-LBCA"
"PF02592","LUCA"
"PF02593","LACA"
"PF02594","LUCA"
"PF02595","LBCA"
"PF02596","LBCA"
"PF02597","LUCA"
"PF02598","Euryarchaeota"
"PF02599","LBCA"
"PF02600","LBCA"
"PF02601","LBCA"
"PF02602","LUCA"
"PF02603","Proteobacteria"
"PF02604","LBCA"
"PF02605","Terrabacteria"
"PF02606","post-LBCA"
"PF02607","LUCA"
"PF02608","LUCA"
"PF02609","LBCA"
"PF02610","LBCA"
"PF02611","post-LBCA"
"PF02613","LACA"
"PF02614","LBCA"
"PF02615","LBCA"
"PF02616","Inspect"
"PF02617","LBCA"
"PF02618","LBCA"
"PF02620","LBCA"
"PF02621","LUCA"
"PF02622","LBCA"
"PF02623","LBCA"
"PF02624","LBCA"
"PF02625","LBCA"
"PF02626","LBCA"
"PF02627","LUCA"
"PF02628","LUCA"
"PF02629","LUCA"
"PF02630","LBCA"
"PF02631","LBCA"
"PF02632","unclassifiable"
"PF02633","LUCA"
"PF02634","LACA"
"PF02635","LUCA"
"PF02636","LBCA"
"PF02637","LACA"
"PF02638","LBCA"
"PF02639","Terrabacteria"
"PF02641","LBCA"
"PF02643","LUCA"
"PF02645","LBCA"
"PF02646","LBCA"
"PF02649","LBCA"
"PF02650","Terrabacteria"
"PF02652","LBCA"
"PF02653","LUCA"
"PF02654","LBCA"
"PF02655","LUCA"
"PF02656","LBCA"
"PF02657","post-LBCA"
"PF02659","LBCA"
"PF02660","LBCA"
"PF02661","LUCA"
"PF02662","LUCA"
"PF02663","LUCA"
"PF02664","post-LBCA"
"PF02665","LUCA"
"PF02666","LBCA"
"PF02667","LACA"
"PF02668","LBCA"
"PF02669","LBCA"
"PF02670","Terrabacteria"
"PF02672","Terrabacteria"
"PF02673","LUCA"
"PF02674","LBCA"
"PF02675","LUCA"
"PF02676","TACK"
"PF02677","LBCA"
"PF02678","LUCA"
"PF02679","LBCA"
"PF02680","LACA"
"PF02681","post-LBCA"
"PF02682","LBCA"
"PF02683","LBCA"
"PF02684","post-LBCA"
"PF02685","LBCA"
"PF02686","LBCA"
"PF02687","preLUCA"
"PF02690","LBCA"
"PF02694","LBCA"
"PF02696","LBCA"
"PF02697","LACA"
"PF02698","LBCA"
"PF02699","LBCA"
"PF02700","LUCA"
"PF02702","LBCA"
"PF02705","LBCA"
"PF02706","LBCA"
"PF02709","LBCA"
"PF02719","LUCA"
"PF02720","Terrabacteria"
"PF02727","unclassifiable"
"PF02728","post-LBCA"
"PF02729","LUCA"
"PF02730","LUCA"
"PF02732","LUCA"
"PF02733","LBCA"
"PF02734","LBCA"
"PF02735","LBCA"
"PF02737","LUCA"
"PF02738","LBCA"
"PF02739","LBCA"
"PF02741","LACA"
"PF02742","LUCA"
"PF02743","LBCA"
"PF02744","Terrabacteria"
"PF02745","Euryarchaeota"
"PF02746","LUCA"
"PF02747","LACA"
"PF02748","unclassifiable"
"PF02749","LACA"
"PF02753","Proteobacteria"
"PF02754","unclassifiable"
"PF02767","post-LBCA"
"PF02768","Terrabacteria"
"PF02769","preLUCA"
"PF02770","LUCA"
"PF02771","preLUCA"
"PF02772","LBCA"
"PF02773","LBCA"
"PF02774","LUCA"
"PF02775","preLUCA"
"PF02776","LBCA"
"PF02777","LUCA"
"PF02778","LACA"
"PF02779","LUCA"
"PF02780","LUCA"
"PF02781","unclassifiable"
"PF02782","LUCA"
"PF02783","Euryarchaeota"
"PF02784","LUCA"
"PF02785","LUCA"
"PF02786","LUCA"
"PF02787","LACA"
"PF02788","LUCA"
"PF02789","LBCA"
"PF02790","post-LBCA"
"PF02794","Proteobacteria"
"PF02796","unclassifiable"
"PF02797","LBCA"
"PF02798","post-LBCA"
"PF02800","LUCA"
"PF02801","LBCA"
"PF02803","LACA"
"PF02805","LBCA"
"PF02806","LUCA"
"PF02810","LBCA"
"PF02811","LUCA"
"PF02812","LUCA"
"PF02814","LBCA"
"PF02817","LUCA"
"PF02823","LBCA"
"PF02824","LUCA"
"PF02826","LUCA"
"PF02829","Terrabacteria"
"PF02830","LUCA"
"PF02833","LBCA"
"PF02834","LUCA"
"PF02836","LUCA"
"PF02837","LUCA"
"PF02838","LBCA"
"PF02839","LBCA"
"PF02843","LUCA"
"PF02844","LUCA"
"PF02852","LUCA"
"PF02861","LBCA"
"PF02863","LBCA"
"PF02866","LUCA"
"PF02867","LUCA"
"PF02868","post-LBCA"
"PF02870","LBCA"
"PF02872","LBCA"
"PF02873","LBCA"
"PF02874","LUCA"
"PF02875","LBCA"
"PF02878","LUCA"
"PF02879","LUCA"
"PF02880","LBCA"
"PF02881","LUCA"
"PF02882","preLUCA"
"PF02884","LBCA"
"PF02885","LUCA"
"PF02887","LUCA"
"PF02889","Euryarchaeota"
"PF02894","LUCA"
"PF02895","LBCA"
"PF02896","LUCA"
"PF02897","LBCA"
"PF02898","Terrabacteria"
"PF02899","LUCA"
"PF02900","LBCA"
"PF02901","LBCA"
"PF02902","Proteobacteria"
"PF02903","post-LBCA"
"PF02906","LBCA"
"PF02909","post-LBCA"
"PF02910","LUCA"
"PF02911","LBCA"
"PF02912","Terrabacteria"
"PF02913","LUCA"
"PF02914","post-LBCA"
"PF02915","preLUCA"
"PF02920","Terrabacteria"
"PF02922","LBCA"
"PF02924","post-LBCA"
"PF02926","LACA"
"PF02927","LBCA"
"PF02929","LBCA"
"PF02933","LACA"
"PF02934","LACA"
"PF02938","LBCA"
"PF02941","Terrabacteria"
"PF02943","LUCA"
"PF02945","Terrabacteria"
"PF02951","LBCA"
"PF02952","LBCA"
"PF02954","LBCA"
"PF02955","LBCA"
"PF02958","LBCA"
"PF02962","post-LBCA"
"PF02965","LBCA"
"PF02971","LUCA"
"PF02974","Proteobacteria"
"PF02975","Proteobacteria"
"PF02976","LBCA"
"PF02978","post-LBCA"
"PF02979","post-LBCA"
"PF02983","post-LBCA"
"PF02985","LUCA"
"PF02996","TACK"
"PF03006","LBCA"
"PF03007","LBCA"
"PF03008","LBCA"
"PF03009","LUCA"
"PF03013","LUCA"
"PF03022","LBCA"
"PF03023","LBCA"
"PF03029","LACA"
"PF03030","LUCA"
"PF03031","LUCA"
"PF03033","LBCA"
"PF03040","Terrabacteria"
"PF03050","LBCA"
"PF03051","LBCA"
"PF03054","LBCA"
"PF03055","LBCA"
"PF03059","LBCA"
"PF03060","LBCA"
"PF03061","LUCA"
"PF03062","LBCA"
"PF03063","LUCA"
"PF03065","LUCA"
"PF03067","unclassifiable"
"PF03069","LUCA"
"PF03070","LUCA"
"PF03073","LBCA"
"PF03079","LBCA"
"PF03083","LUCA"
"PF03088","post-LBCA"
"PF03090","post-LBCA"
"PF03091","LUCA"
"PF03092","LBCA"
"PF03098","LBCA"
"PF03099","LUCA"
"PF03100","LBCA"
"PF03102","LUCA"
"PF03104","LUCA"
"PF03109","LBCA"
"PF03116","LBCA"
"PF03118","LBCA"
"PF03119","LBCA"
"PF03120","Proteobacteria"
"PF03123","post-LBCA"
"PF03129","LUCA"
"PF03130","LUCA"
"PF03135","LBCA"
"PF03136","post-LBCA"
"PF03143","LACA"
"PF03144","LACA"
"PF03147","LBCA"
"PF03150","LBCA"
"PF03160","LBCA"
"PF03161","Inspect"
"PF03162","LBCA"
"PF03167","LBCA"
"PF03168","LBCA"
"PF03169","LUCA"
"PF03170","unclassifiable"
"PF03171","LBCA"
"PF03173","post-LBCA"
"PF03174","LBCA"
"PF03176","LUCA"
"PF03180","post-LBCA"
"PF03186","post-LBCA"
"PF03190","LBCA"
"PF03192","Euryarchaeota"
"PF03193","LBCA"
"PF03200","LBCA"
"PF03201","Euryarchaeota"
"PF03203","post-LBCA"
"PF03205","LUCA"
"PF03206","post-LBCA"
"PF03209","LBCA"
"PF03211","post-LBCA"
"PF03212","post-LBCA"
"PF03214","LBCA"
"PF03217","Terrabacteria"
"PF03219","LBCA"
"PF03222","post-LBCA"
"PF03230","Proteobacteria"
"PF03232","LBCA"
"PF03235","LUCA"
"PF03237","LBCA"
"PF03239","LBCA"
"PF03241","post-LBCA"
"PF03243","post-LBCA"
"PF03245","Proteobacteria"
"PF03253","LBCA"
"PF03255","Terrabacteria"
"PF03259","LUCA"
"PF03264","LBCA"
"PF03266","LBCA"
"PF03269","LBCA"
"PF03270","post-LBCA"
"PF03275","LBCA"
"PF03279","LBCA"
"PF03280","Proteobacteria"
"PF03283","Proteobacteria"
"PF03288","LACA"
"PF03297","TACK"
"PF03301","post-LBCA"
"PF03306","LBCA"
"PF03308","LBCA"
"PF03309","LBCA"
"PF03313","LBCA"
"PF03315","LBCA"
"PF03319","LBCA"
"PF03320","post-LBCA"
"PF03321","LBCA"
"PF03323","Terrabacteria"
"PF03328","LBCA"
"PF03330","LBCA"
"PF03331","Proteobacteria"
"PF03332","Terrabacteria"
"PF03334","LBCA"
"PF03349","LBCA"
"PF03350","LBCA"
"PF03351","unclassifiable"
"PF03352","LUCA"
"PF03354","LBCA"
"PF03357","LACA"
"PF03358","LUCA"
"PF03364","LUCA"
"PF03367","LACA"
"PF03372","preLUCA"
"PF03374","LBCA"
"PF03379","Proteobacteria"
"PF03382","LBCA"
"PF03389","post-LBCA"
"PF03390","post-LBCA"
"PF03400","LBCA"
"PF03401","Inspect"
"PF03403","LBCA"
"PF03404","LBCA"
"PF03405","post-LBCA"
"PF03406","post-LBCA"
"PF03407","LBCA"
"PF03411","Proteobacteria"
"PF03412","LBCA"
"PF03413","unclassifiable"
"PF03415","LUCA"
"PF03417","LUCA"
"PF03418","Terrabacteria"
"PF03419","Terrabacteria"
"PF03422","LBCA"
"PF03423","post-LBCA"
"PF03425","LBCA"
"PF03428","Proteobacteria"
"PF03432","LBCA"
"PF03435","LUCA"
"PF03437","LBCA"
"PF03439","TACK"
"PF03441","LBCA"
"PF03442","post-LBCA"
"PF03444","PVC"
"PF03445","LBCA"
"PF03446","LUCA"
"PF03447","LUCA"
"PF03448","post-LBCA"
"PF03449","LBCA"
"PF03450","LBCA"
"PF03453","unclassifiable"
"PF03454","LBCA"
"PF03457","unclassifiable"
"PF03458","LBCA"
"PF03459","LUCA"
"PF03460","LUCA"
"PF03461","LBCA"
"PF03462","LBCA"
"PF03463","LACA"
"PF03464","LACA"
"PF03465","LACA"
"PF03466","LBCA"
"PF03471","LBCA"
"PF03472","unclassifiable"
"PF03473","LUCA"
"PF03475","LBCA"
"PF03476","LBCA"
"PF03477","LUCA"
"PF03479","LUCA"
"PF03480","LBCA"
"PF03481","LBCA"
"PF03483","LUCA"
"PF03484","LBCA"
"PF03485","LUCA"
"PF03486","LBCA"
"PF03496","LBCA"
"PF03502","Proteobacteria"
"PF03503","PVC"
"PF03504","PVC"
"PF03522","post-LBCA"
"PF03524","Proteobacteria"
"PF03527","Proteobacteria"
"PF03534","LBCA"
"PF03537","unclassifiable"
"PF03538","Proteobacteria"
"PF03544","LBCA"
"PF03547","LBCA"
"PF03548","post-LBCA"
"PF03550","Proteobacteria"
"PF03551","LACA"
"PF03552","unclassifiable"
"PF03553","LBCA"
"PF03559","LBCA"
"PF03561","LBCA"
"PF03562","Proteobacteria"
"PF03567","LBCA"
"PF03571","post-LBCA"
"PF03572","LBCA"
"PF03573","post-LBCA"
"PF03575","LBCA"
"PF03576","LBCA"
"PF03577","LBCA"
"PF03583","LBCA"
"PF03587","LACA"
"PF03588","LBCA"
"PF03590","Terrabacteria"
"PF03591","unclassifiable"
"PF03592","LBCA"
"PF03594","post-LBCA"
"PF03595","LBCA"
"PF03596","Terrabacteria"
"PF03597","post-LBCA"
"PF03598","Inspect"
"PF03599","LUCA"
"PF03600","LBCA"
"PF03601","LUCA"
"PF03602","LBCA"
"PF03603","Proteobacteria"
"PF03604","Euryarchaeota"
"PF03605","LBCA"
"PF03606","LBCA"
"PF03608","post-LBCA"
"PF03609","LBCA"
"PF03610","LBCA"
"PF03611","LBCA"
"PF03612","post-LBCA"
"PF03613","post-LBCA"
"PF03616","LBCA"
"PF03618","post-LBCA"
"PF03621","post-LBCA"
"PF03625","LBCA"
"PF03626","LBCA"
"PF03629","LBCA"
"PF03630","post-LBCA"
"PF03631","LBCA"
"PF03632","LBCA"
"PF03633","LBCA"
"PF03636","LBCA"
"PF03640","LBCA"
"PF03641","LBCA"
"PF03644","LBCA"
"PF03646","post-LBCA"
"PF03647","PVC"
"PF03648","LBCA"
"PF03649","LBCA"
"PF03652","LBCA"
"PF03653","post-LBCA"
"PF03657","LACA"
"PF03658","Proteobacteria"
"PF03663","LBCA"
"PF03664","LBCA"
"PF03668","Terrabacteria"
"PF03672","Terrabacteria"
"PF03677","PVC"
"PF03682","LBCA"
"PF03683","unclassifiable"
"PF03684","Euryarchaeota"
"PF03685","LACA"
"PF03686","Euryarchaeota"
"PF03690","LBCA"
"PF03691","LBCA"
"PF03692","LUCA"
"PF03693","LBCA"
"PF03695","Proteobacteria"
"PF03698","Terrabacteria"
"PF03699","Terrabacteria"
"PF03701","Proteobacteria"
"PF03702","LBCA"
"PF03703","LUCA"
"PF03704","LBCA"
"PF03705","LBCA"
"PF03706","LUCA"
"PF03707","unclassifiable"
"PF03709","post-LBCA"
"PF03710","Proteobacteria"
"PF03711","Inspect"
"PF03712","post-LBCA"
"PF03713","LBCA"
"PF03714","post-LBCA"
"PF03717","LBCA"
"PF03719","CPR"
"PF03720","LUCA"
"PF03721","LUCA"
"PF03724","LBCA"
"PF03725","LACA"
"PF03726","LBCA"
"PF03727","LBCA"
"PF03729","LBCA"
"PF03733","LBCA"
"PF03734","LBCA"
"PF03737","LUCA"
"PF03738","LBCA"
"PF03739","LBCA"
"PF03740","LBCA"
"PF03741","LBCA"
"PF03742","Terrabacteria"
"PF03743","LBCA"
"PF03744","Inspect"
"PF03745","LBCA"
"PF03746","LBCA"
"PF03747","unclassifiable"
"PF03748","LBCA"
"PF03749","LBCA"
"PF03750","LBCA"
"PF03752","Terrabacteria"
"PF03755","LBCA"
"PF03756","post-LBCA"
"PF03764","LBCA"
"PF03767","LBCA"
"PF03771","Terrabacteria"
"PF03772","LBCA"
"PF03773","LUCA"
"PF03775","post-LBCA"
"PF03776","post-LBCA"
"PF03777","Terrabacteria"
"PF03779","LBCA"
"PF03780","Terrabacteria"
"PF03781","LBCA"
"PF03783","LBCA"
"PF03786","LBCA"
"PF03787","LUCA"
"PF03788","LBCA"
"PF03793","LBCA"
"PF03795","LUCA"
"PF03796","LBCA"
"PF03797","LBCA"
"PF03799","LBCA"
"PF03802","unclassifiable"
"PF03803","post-LBCA"
"PF03806","LBCA"
"PF03807","LUCA"
"PF03808","LBCA"
"PF03811","Inspect"
"PF03812","post-LBCA"
"PF03814","LBCA"
"PF03816","post-LBCA"
"PF03817","Proteobacteria"
"PF03818","unclassifiable"
"PF03819","LBCA"
"PF03824","LBCA"
"PF03825","LBCA"
"PF03829","post-LBCA"
"PF03830","LBCA"
"PF03831","post-LBCA"
"PF03833","LACA"
"PF03837","LBCA"
"PF03838","unclassifiable"
"PF03840","LBCA"
"PF03841","LBCA"
"PF03843","Proteobacteria"
"PF03845","Terrabacteria"
"PF03846","Proteobacteria"
"PF03848","LBCA"
"PF03851","LBCA"
"PF03852","LUCA"
"PF03853","LBCA"
"PF03860","LBCA"
"PF03861","post-LBCA"
"PF03862","Terrabacteria"
"PF03864","LBCA"
"PF03865","LBCA"
"PF03869","LBCA"
"PF03872","Proteobacteria"
"PF03873","Proteobacteria"
"PF03874","LACA"
"PF03876","LACA"
"PF03880","LBCA"
"PF03881","LBCA"
"PF03882","Proteobacteria"
"PF03883","LBCA"
"PF03884","post-LBCA"
"PF03885","Terrabacteria"
"PF03886","LBCA"
"PF03887","post-LBCA"
"PF03888","post-LBCA"
"PF03889","Proteobacteria"
"PF03891","LBCA"
"PF03892","Proteobacteria"
"PF03894","LBCA"
"PF03895","LBCA"
"PF03899","post-LBCA"
"PF03900","LBCA"
"PF03901","LBCA"
"PF03903","FCB"
"PF03911","LACA"
"PF03912","Terrabacteria"
"PF03916","LUCA"
"PF03918","post-LBCA"
"PF03922","post-LBCA"
"PF03923","Proteobacteria"
"PF03924","LBCA"
"PF03925","Proteobacteria"
"PF03927","Proteobacteria"
"PF03928","LBCA"
"PF03929","LBCA"
"PF03932","LBCA"
"PF03934","post-LBCA"
"PF03937","Proteobacteria"
"PF03938","LBCA"
"PF03942","post-LBCA"
"PF03946","Inspect"
"PF03947","Inspect"
"PF03948","LBCA"
"PF03949","LBCA"
"PF03950","LACA"
"PF03951","LBCA"
"PF03952","LACA"
"PF03956","post-LBCA"
"PF03958","LBCA"
"PF03959","LBCA"
"PF03960","LBCA"
"PF03961","LBCA"
"PF03963","unclassifiable"
"PF03965","unclassifiable"
"PF03966","LBCA"
"PF03967","Proteobacteria"
"PF03968","LBCA"
"PF03969","post-LBCA"
"PF03971","unclassifiable"
"PF03972","LUCA"
"PF03974","Proteobacteria"
"PF03975","LBCA"
"PF03976","LBCA"
"PF03977","LBCA"
"PF03979","post-LBCA"
"PF03981","Proteobacteria"
"PF03982","post-LBCA"
"PF03983","PVC"
"PF03984","post-LBCA"
"PF03988","LBCA"
"PF03989","LUCA"
"PF03990","Terrabacteria"
"PF03992","LUCA"
"PF03993","post-LBCA"
"PF03994","LBCA"
"PF03995","Terrabacteria"
"PF04002","LBCA"
"PF04007","LBCA"
"PF04008","LACA"
"PF04009","Euryarchaeota"
"PF04010","LACA"
"PF04011","LBCA"
"PF04012","LBCA"
"PF04013","unclassifiable"
"PF04014","LUCA"
"PF04015","LUCA"
"PF04016","LUCA"
"PF04017","Euryarchaeota"
"PF04018","LBCA"
"PF04019","LACA"
"PF04020","LBCA"
"PF04021","Inspect"
"PF04023","LUCA"
"PF04024","LUCA"
"PF04025","Terrabacteria"
"PF04026","LBCA"
"PF04027","unclassifiable"
"PF04028","Proteobacteria"
"PF04029","LUCA"
"PF04030","LBCA"
"PF04032","LACA"
"PF04034","LACA"
"PF04038","Euryarchaeota"
"PF04039","LBCA"
"PF04041","LUCA"
"PF04042","LACA"
"PF04052","Proteobacteria"
"PF04055","preLUCA"
"PF04060","LUCA"
"PF04066","LBCA"
"PF04068","LACA"
"PF04069","LBCA"
"PF04070","LBCA"
"PF04071","Inspect"
"PF04072","LUCA"
"PF04073","LBCA"
"PF04074","LBCA"
"PF04075","Inspect"
"PF04076","Proteobacteria"
"PF04077","Proteobacteria"
"PF04079","Inspect"
"PF04085","Proteobacteria"
"PF04087","LUCA"
"PF04093","LBCA"
"PF04095","LBCA"
"PF04098","post-LBCA"
"PF04101","LUCA"
"PF04102","Proteobacteria"
"PF04104","LACA"
"PF04107","LBCA"
"PF04115","Proteobacteria"
"PF04116","LBCA"
"PF04120","LBCA"
"PF04122","Terrabacteria"
"PF04123","LACA"
"PF04126","LACA"
"PF04127","LBCA"
"PF04131","post-LBCA"
"PF04134","LBCA"
"PF04135","LACA"
"PF04138","LUCA"
"PF04140","LUCA"
"PF04143","LBCA"
"PF04149","Terrabacteria"
"PF04151","LBCA"
"PF04165","post-LBCA"
"PF04166","LBCA"
"PF04167","Terrabacteria"
"PF04168","LBCA"
"PF04170","LBCA"
"PF04172","LBCA"
"PF04173","unclassifiable"
"PF04175","Proteobacteria"
"PF04182","LACA"
"PF04183","LBCA"
"PF04185","LBCA"
"PF04186","post-LBCA"
"PF04187","unclassifiable"
"PF04188","post-LBCA"
"PF04191","LUCA"
"PF04193","post-LBCA"
"PF04198","post-LBCA"
"PF04199","LUCA"
"PF04200","Terrabacteria"
"PF04203","LBCA"
"PF04204","LBCA"
"PF04205","LBCA"
"PF04206","Euryarchaeota"
"PF04207","Euryarchaeota"
"PF04208","PVC"
"PF04209","LBCA"
"PF04210","Euryarchaeota"
"PF04211","Euryarchaeota"
"PF04212","TACK"
"PF04213","Terrabacteria"
"PF04214","post-LBCA"
"PF04216","LBCA"
"PF04217","Proteobacteria"
"PF04219","Proteobacteria"
"PF04220","Proteobacteria"
"PF04221","LBCA"
"PF04222","post-LBCA"
"PF04223","LBCA"
"PF04224","LBCA"
"PF04225","Proteobacteria"
"PF04226","LBCA"
"PF04227","unclassifiable"
"PF04228","post-LBCA"
"PF04229","LBCA"
"PF04230","LUCA"
"PF04231","LBCA"
"PF04232","Terrabacteria"
"PF04233","LBCA"
"PF04234","Terrabacteria"
"PF04235","LBCA"
"PF04237","LBCA"
