ancestor,pfamIDs,Clans,avg_transfer
Terrabacteria,PF04297,CL0123,0.08725245
post-LBCA,PF04298,CL0126,0.08414315
LBCA,PF04299,CL0336,0.2521635
post-LBCA,PF04301,CL0028,0.1505285
post-LBCA,PF04303,CL0288,0.2841855
LBCA,PF04304,PF04304,0.1813655
post-LBCA,PF04305,CL0044,0.0867437
Terrabacteria,PF04306,CL0500,0.0847201
preLUCA,PF04307,CL0368,0.1436165
Terrabacteria,PF04308,CL0219,0.075368
post-LBCA,PF04309,CL0036,0.180468
Proteobacteria,PF04310,CL0023,0.0456502
Proteobacteria,PF04311,CL0264,0.0588842
LACA,PF04312,PF04312,0.0515425
preLUCA,PF04313,CL0236,0.4808135
Proteobacteria,PF04314,PF04314,0.1660935
Proteobacteria,PF04315,PF04315,0.0929829
unclassifiable,PF04316,PF04316,0.1123312
post-LBCA,PF04317,CL0023,0.0710733
post-LBCA,PF04319,CL0010,0.132507
post-LBCA,PF04320,PF04320,0.05647865
LUCA,PF04321,CL0063,0.1516545
Euryarchaeota,PF04322,PF04322,0.0308354
LBCA,PF04324,CL0667,0.1785785
Proteobacteria,PF04325,PF04325,0.120336
LBCA,PF04326,CL0441,0.3624805
Terrabacteria,PF04327,PF04327,0.0519409
post-LBCA,PF04328,PF04328,0.1137355
LBCA,PF04332,CL0292,0.0969274
Proteobacteria,PF04333,PF04333,0.1012497
post-LBCA,PF04335,CL0051,0.2979755
LBCA,PF04336,PF04336,0.1120395
LBCA,PF04337,CL0123,0.098842
LBCA,PF04338,CL0193,0.120781
post-LBCA,PF04339,CL0257,0.0988822
Proteobacteria,PF04340,CL0161,0.0488861
LBCA,PF04341,PF04341,0.120421
post-LBCA,PF04342,CL0184,0.173177
LUCA,PF04343,PF04343,0.2423645
Proteobacteria,PF04344,PF04344,0.05527165
Proteobacteria,PF04345,CL0122,0.0488816
Terrabacteria,PF04346,CL0182,0.2322885
LBCA,PF04347,PF04347,0.1020595
Proteobacteria,PF04348,CL0144,0.04074065
post-LBCA,PF04349,CL0103,0.148339
LBCA,PF04350,CL0331,0.0828196
Proteobacteria,PF04351,CL0655,0.0496834
Proteobacteria,PF04352,PF04352,0.106937
Proteobacteria,PF04353,PF04353,0.04159185
Proteobacteria,PF04354,PF04354,0.0335125
post-LBCA,PF04355,CL0320,0.0960073
Proteobacteria,PF04356,PF04356,0.03863385
LBCA,PF04357,CL0401,0.09744875
unclassifiable,PF04358,CL0123,0.0964243
LBCA,PF04359,CL0070,0.08508015
Proteobacteria,PF04361,PF04361,0.04230415
Proteobacteria,PF04362,PF04362,0.0815239
Proteobacteria,PF04363,PF04363,0.0340591
Proteobacteria,PF04364,PF04364,0.0561822
LBCA,PF04365,CL0136,0.3816885
LBCA,PF04366,PF04366,0.143612
LBCA,PF04367,PF04367,0.08735245
Proteobacteria,PF04368,PF04368,0.00409605
unclassifiable,PF04371,CL0197,0.1789025
Proteobacteria,PF04375,PF04375,0.03892285
Proteobacteria,PF04376,CL0257,0.0577027
post-LBCA,PF04377,CL0257,0.0605849
Proteobacteria,PF04378,CL0063,0.1012275
post-LBCA,PF04379,CL0159,0.0755234
Proteobacteria,PF04380,PF04380,0.05227295
Proteobacteria,PF04381,PF04381,0.06462495
post-LBCA,PF04383,CL0123,0.417455
LBCA,PF04384,PF04384,0.1101075
Proteobacteria,PF04386,PF04386,0.066897
preLUCA,PF04389,CL0105,0.189168
post-LBCA,PF04390,CL0342,0.05419135
post-LBCA,PF04391,CL0414,0.177786
LBCA,PF04392,CL0144,0.1841555
post-LBCA,PF04393,PF04393,0.1310535
Terrabacteria,PF04394,PF04394,0.1413023
LBCA,PF04397,CL0010,0.218047
Proteobacteria,PF04399,CL0497,0.1735155
post-LBCA,PF04400,PF04400,0.0935174
LUCA,PF04402,PF04402,0.1299395
post-LBCA,PF04403,PF04403,0.1346685
LBCA,PF04404,PF04404,0.2513395
Terrabacteria,PF04405,PF04405,0.142488
LACA,PF04406,PF04406,0.04214355
Euryarchaeota,PF04407,CL0098,0.0187232
LBCA,PF04408,CL0123,0.1366735
unclassifiable,PF04409,PF04409,0.01662965
LACA,PF04410,CL0105,0.05670475
LBCA,PF04411,CL0236,0.258344
unclassifiable,PF04412,PF04412,0.1250425
unclassifiable,PF04413,CL0113,0.07594675
unclassifiable,PF04414,CL0408,0.0418972
Euryarchaeota,PF04415,PF04415,0.03464537
Terrabacteria,PF04417,PF04417,0.08064405
LBCA,PF04422,PF04422,0.187255
LACA,PF04423,PF04423,0.09615925
unclassifiable,PF04430,PF04430,0.0813177
LUCA,PF04432,PF04432,0.1815775
unclassifiable,PF04434,PF04434,0.231763
LBCA,PF04439,CL0260,0.3350275
Proteobacteria,PF04442,PF04442,0.08641625
LBCA,PF04443,CL0378,0.1397065
Terrabacteria,PF04444,PF04444,0.3068875
post-LBCA,PF04445,CL0063,0.0963188
post-LBCA,PF04446,PF04446,0.0608635
LBCA,PF04450,CL0126,0.232389
LBCA,PF04452,CL0098,0.08688185
Proteobacteria,PF04453,CL0193,0.0438058
LBCA,PF04454,CL0373,0.09113885
unclassifiable,PF04455,PF04455,0.04941215
post-LBCA,PF04456,PF04456,0.08761035
LACA,PF04457,PF04457,0.06678505
post-LBCA,PF04459,PF04459,0.058749
Proteobacteria,PF04461,PF04461,0.07085955
LUCA,PF04463,PF04463,0.1673115
LBCA,PF04464,CL0113,0.27156
LBCA,PF04465,PF04465,0.18142725
LBCA,PF04466,CL0023,0.215578
post-LBCA,PF04468,PF04468,0.06297075
LUCA,PF04471,CL0236,0.307566
unclassifiable,PF04472,PF04472,0.034664
unclassifiable,PF04473,CL0125,0.1671925
LBCA,PF04474,PF04474,0.1575095
Euryarchaeota,PF04475,PF04475,0.02598465
Proteobacteria,PF04476,CL0036,0.04713765
LBCA,PF04480,CL0236,0.2499835
Terrabacteria,PF04481,CL0036,0.0939423
Terrabacteria,PF04483,PF04483,0.07264975
Terrabacteria,PF04485,PF04485,0.2756895
Terrabacteria,PF04486,CL0032,0.245085
LBCA,PF04488,CL0110,0.300715
LBCA,PF04492,CL0123,0.289382
LBCA,PF04493,CL0219,0.124421
unclassifiable,PF04505,PF04505,0.2093475
unclassifiable,PF04509,CL0355,0.10152075
PVC,PF04518,PF04518,0.05470995
LBCA,PF04519,CL0268,0.1061658
post-LBCA,PF04525,CL0395,0.1345675
Terrabacteria,PF04531,PF04531,0.2893145
post-LBCA,PF04536,CL0063,0.1161905
LBCA,PF04539,CL0123,0.0852817
LBCA,PF04542,CL0123,0.253735
LBCA,PF04545,CL0123,0.0985026
Proteobacteria,PF04546,CL0123,0.0430164
LBCA,PF04551,PF04551,0.104902
unclassifiable,PF04552,CL0123,0.0821034
unclassifiable,PF04555,CL0236,0.2983355
LBCA,PF04556,CL0236,0.182395
unclassifiable,PF04560,PF04560,0.03826905
unclassifiable,PF04561,PF04561,0.04271605
unclassifiable,PF04563,PF04563,0.03171445
LACA,PF04565,PF04565,0.0477355
LACA,PF04566,PF04566,0.04068915
LACA,PF04567,PF04567,0.0597063
Proteobacteria,PF04575,CL0193,0.2380705
LBCA,PF04577,PF04577,0.4442835
LBCA,PF04586,CL0201,0.2358425
unclassifiable,PF04587,CL0118,0.0482614
Proteobacteria,PF04588,PF04588,0.1401665
Terrabacteria,PF04602,CL0111,0.05470686
Proteobacteria,PF04606,CL0167,0.1758025
LBCA,PF04607,CL0260,0.0922192
LBCA,PF04608,PF04608,0.1010077
Euryarchaeota,PF04609,PF04609,0.02776225
LBCA,PF04610,CL0698,0.276024
post-LBCA,PF04612,CL0331,0.140035
Proteobacteria,PF04613,PF04613,0.09174245
LBCA,PF04616,CL0143,0.5127455
Terrabacteria,PF04630,CL0504,0.3467635
LBCA,PF04632,CL0307,0.15728985
unclassifiable,PF04634,PF04634,0.228533
Terrabacteria,PF04647,PF04647,0.2216175
Terrabacteria,PF04650,PF04650,0.407396
Proteobacteria,PF04654,PF04654,0.07926465
post-LBCA,PF04655,CL0016,0.204653
LBCA,PF04657,CL0184,0.2233935
Euryarchaeota,PF04659,PF04659,0.03635725
Proteobacteria,PF04663,CL0072,0.1660885
Terrabacteria,PF04672,CL0063,0.3920125
Terrabacteria,PF04673,CL0032,0.452426
LBCA,PF04675,PF04675,0.07269665
LUCA,PF04679,CL0021,0.113806
LBCA,PF04685,CL0059,0.169525
Terrabacteria,PF04686,CL0609,0.0952746
Terrabacteria,PF04688,PF04688,0.200756
unclassifiable,PF04693,CL0219,0.10231035
LACA,PF04703,CL0123,0.1166045
LUCA,PF04715,PF04715,0.07508465
unclassifiable,PF04717,CL0021,0.2540845
post-LBCA,PF04723,CL0063,0.146724
Proteobacteria,PF04728,CL0590,0.1214815
LBCA,PF04734,CL0635,0.1910135
LBCA,PF04738,PF04738,0.2733595
Terrabacteria,PF04740,CL0352,0.321816
unclassifiable,PF04744,PF04744,0.0459004
PVC,PF04746,PF04746,0.02048005
post-LBCA,PF04748,CL0158,0.063202
Proteobacteria,PF04751,PF04751,0.06148515
post-LBCA,PF04752,CL0278,0.126976
LBCA,PF04754,CL0236,0.17545
Terrabacteria,PF04755,CL0116,0.116143
unclassifiable,PF04758,PF04758,0.0371004
LBCA,PF04760,CL0123,0.0882143
PVC,PF04763,PF04763,0.0000001
LBCA,PF04765,CL0110,0.345212
LBCA,PF04773,PF04773,0.256439
LBCA,PF04775,CL0159,0.17458985
LBCA,PF04784,PF04784,0.13474
LBCA,PF04794,CL0158,0.164483
unclassifiable,PF04796,CL0123,0.2252555
Proteobacteria,PF04800,PF04800,0.07969805
Proteobacteria,PF04809,PF04809,0.1616145
Terrabacteria,PF04816,CL0063,0.07411055
LUCA,PF04820,CL0063,0.2739545
LBCA,PF04828,CL0080,0.4781095
Proteobacteria,PF04829,PF04829,0.1829435
Proteobacteria,PF04830,PF04830,0.217607
LBCA,PF04832,CL0319,0.10836625
Terrabacteria,PF04839,PF04839,0.05866295
preLUCA,PF04851,CL0023,0.1475115
post-LBCA,PF04854,PF04854,0.2040265
LBCA,PF04860,PF04860,0.2261095
LBCA,PF04862,CL0202,0.2315665
post-LBCA,PF04865,PF04865,0.299708
LUCA,PF04879,CL0344,0.1970535
LBCA,PF04883,CL0348,0.4648465
unclassifiable,PF04885,PF04885,0.19385235
unclassifiable,PF04886,PF04886,0.3899935
Proteobacteria,PF04888,PF04888,0.06091295
PVC,PF04890,PF04890,0.0451927
Proteobacteria,PF04891,PF04891,0.108788
LUCA,PF04892,PF04892,0.1979655
LUCA,PF04893,CL0112,0.1529565
LACA,PF04894,PF04894,0.0449387
LACA,PF04895,PF04895,0.06426955
unclassifiable,PF04896,PF04896,0.0754789
LBCA,PF04898,CL0036,0.09568955
LUCA,PF04909,CL0036,0.2979085
Terrabacteria,PF04914,CL0264,0.0896664
Proteobacteria,PF04917,PF04917,0.2554238
LACA,PF04919,CL0198,0.0364316
post-LBCA,PF04930,PF04930,0.0527597
LBCA,PF04932,CL0499,0.345425
LBCA,PF04940,CL0622,0.2652965
LBCA,PF04945,CL0175,0.1730385
LUCA,PF04951,PF04951,0.12408505
LBCA,PF04952,CL0105,0.1615205
LBCA,PF04954,CL0091,0.2917895
post-LBCA,PF04955,CL0292,0.2817225
LBCA,PF04956,CL0690,0.2498925
Proteobacteria,PF04957,PF04957,0.04488775
Proteobacteria,PF04958,CL0257,0.0672666
LBCA,PF04960,CL0013,0.1840785
LUCA,PF04961,PF04961,0.128982
LBCA,PF04962,CL0029,0.1588715
post-LBCA,PF04963,CL0123,0.0673442
unclassifiable,PF04964,PF04964,0.3301365
LBCA,PF04965,CL0763,0.2915965
LBCA,PF04966,CL0193,0.193478
LACA,PF04967,CL0123,0.220884
post-LBCA,PF04970,CL0125,0.20492
LBCA,PF04972,PF04972,0.185519
LBCA,PF04973,PF04973,0.134717
LBCA,PF04976,CL0308,0.10971
LBCA,PF04977,CL0225,0.0526953
post-LBCA,PF04978,CL0310,0.3807225
LACA,PF04981,PF04981,0.045223
LBCA,PF04982,CL0307,0.233373
unclassifiable,PF04983,PF04983,0.0342975
post-LBCA,PF04984,PF04984,0.267325
Proteobacteria,PF04985,CL0504,0.1897045
LBCA,PF04986,CL0481,0.1977025
LBCA,PF04989,CL0063,0.4898385
LBCA,PF04991,CL0260,0.290298
unclassifiable,PF04993,CL0631,0.2683295
LBCA,PF04994,CL0198,0.1500245
Proteobacteria,PF04995,PF04995,0.1113753
Proteobacteria,PF04996,CL0197,0.0851145
unclassifiable,PF04997,PF04997,0.02675915
Euryarchaeota,PF04998,PF04998,0.02557705
post-LBCA,PF04999,CL0225,0.0479552
LACA,PF05000,PF05000,0.0347694
LBCA,PF05013,CL0105,0.1544965
LUCA,PF05014,CL0498,0.1488135
LBCA,PF05015,CL0136,0.3269775
LUCA,PF05016,CL0136,0.347466
LBCA,PF05019,PF05019,0.1440954
post-LBCA,PF05023,CL0125,0.1668405
LBCA,PF05025,CL0101,0.173161
Terrabacteria,PF05031,CL0159,0.191642
unclassifiable,PF05034,CL0227,0.06871615
LBCA,PF05035,PF05035,0.1752105
unclassifiable,PF05036,PF05036,0.1686815
LBCA,PF05037,PF05037,0.14314175
unclassifiable,PF05043,CL0123,0.431675
LBCA,PF05045,PF05045,0.2963875
LUCA,PF05048,CL0268,0.3137485
preLUCA,PF05050,CL0063,0.4485395
LBCA,PF05057,CL0028,0.28478
LBCA,PF05063,CL0063,0.296942
LBCA,PF05065,CL0373,0.360101
post-LBCA,PF05066,CL0123,0.0721459
LBCA,PF05067,CL0044,0.180842
post-LBCA,PF05068,PF05068,0.1613145
LBCA,PF05069,CL0348,0.2613415
Proteobacteria,PF05071,PF05071,0.0849382
LBCA,PF05076,PF05076,0.226318
Proteobacteria,PF05082,PF05082,0.1808095
Proteobacteria,PF05088,CL0063,0.0510538
LBCA,PF05089,CL0036,0.13981175
LBCA,PF05090,PF05090,0.159281
PVC,PF05095,PF05095,0.0361772
LBCA,PF05096,CL0186,0.104111
LBCA,PF05099,CL0414,0.1289875
Proteobacteria,PF05100,CL0249,0.12492265
post-LBCA,PF05101,PF05101,0.2227975
Terrabacteria,PF05103,PF05103,0.07084265
LBCA,PF05105,PF05105,0.2976035
Proteobacteria,PF05106,CL0564,0.19650075
LBCA,PF05107,PF05107,0.2228475
Terrabacteria,PF05108,PF05108,0.1100434
LBCA,PF05114,CL0036,0.174402
LBCA,PF05116,CL0137,0.1652835
LBCA,PF05117,PF05117,0.300653
LBCA,PF05118,CL0029,0.245719
LBCA,PF05119,PF05119,0.326189
LBCA,PF05120,CL0660,0.1414475
LBCA,PF05121,PF05121,0.15191
LACA,PF05123,PF05123,0.0795927
LACA,PF05124,CL0546,0.05303805
Proteobacteria,PF05125,CL0373,0.1770529
Proteobacteria,PF05127,CL0023,0.0920267
LBCA,PF05128,PF05128,0.127496
TACK,PF05129,CL0167,0.01012285
LBCA,PF05130,PF05130,0.113014
Terrabacteria,PF05133,PF05133,0.289713
Proteobacteria,PF05134,CL0108,0.1048608
LBCA,PF05135,CL0643,0.3328755
LBCA,PF05136,PF05136,0.356164
Proteobacteria,PF05137,CL0331,0.133059
LBCA,PF05138,CL0044,0.1040094
LBCA,PF05139,CL0572,0.270279
LBCA,PF05140,PF05140,0.07416895
LBCA,PF05141,PF05141,0.2562254
unclassifiable,PF05144,CL0407,0.2636624
post-LBCA,PF05145,CL0142,0.176725
LBCA,PF05147,CL0059,0.432918
post-LBCA,PF05150,CL0193,0.1090877
Terrabacteria,PF05151,PF05151,0.119172
LBCA,PF05153,CL0237,0.1830475
LBCA,PF05154,PF05154,0.251671
LBCA,PF05157,PF05157,0.145371
LBCA,PF05159,CL0113,0.368696
LUCA,PF05161,PF05161,0.1617275
LBCA,PF05163,CL0310,0.330349
unclassifiable,PF05164,PF05164,0.0461809
TACK,PF05165,CL0276,0.02863445
Proteobacteria,PF05166,PF05166,0.0720925
unclassifiable,PF05167,CL0339,0.106408
preLUCA,PF05168,CL0291,0.296931
LBCA,PF05170,CL0401,0.192305
LBCA,PF05171,CL0312,0.1774905
LBCA,PF05173,CL0139,0.0751302
LBCA,PF05175,CL0063,0.08421995
FCB,PF05176,CL0172,0.0460753
LBCA,PF05187,CL0344,0.164919
LBCA,PF05188,PF05188,0.05929845
post-LBCA,PF05189,PF05189,0.06828875
LBCA,PF05190,PF05190,0.0831708
LUCA,PF05191,PF05191,0.1484785
LBCA,PF05192,PF05192,0.0593768
LBCA,PF05193,CL0094,0.109433
LBCA,PF05194,PF05194,0.161248
LBCA,PF05195,CL0356,0.106333
LBCA,PF05198,PF05198,0.086277
LBCA,PF05199,PF05199,0.3320605
LUCA,PF05201,PF05201,0.0423792
post-LBCA,PF05209,PF05209,0.0629895
Terrabacteria,PF05215,PF05215,0.18000005
LUCA,PF05221,CL0063,0.1010245
LBCA,PF05222,CL0063,0.142928
unclassifiable,PF05223,CL0051,0.099607
post-LBCA,PF05225,CL0123,0.1127395
LBCA,PF05226,PF05226,0.2060735
unclassifiable,PF05227,CL0457,0.2831945
LBCA,PF05228,CL0165,0.2743135
Proteobacteria,PF05229,CL0204,0.5280395
post-LBCA,PF05230,PF05230,0.1645365
LBCA,PF05231,PF05231,0.341909
Proteobacteria,PF05232,PF05232,0.212611
Proteobacteria,PF05233,PF05233,0.0599319
LBCA,PF05235,PF05235,0.145409
LUCA,PF05239,CL0350,0.08129265
Proteobacteria,PF05247,PF05247,0.05325955
Terrabacteria,PF05256,PF05256,0.0721062
LBCA,PF05257,CL0125,0.1818905
LBCA,PF05258,CL0424,0.05460175
LBCA,PF05270,CL0066,0.4085165
LBCA,PF05272,CL0023,0.1898241
Proteobacteria,PF05275,CL0193,0.200019
Terrabacteria,PF05277,CL0028,0.0493237
Proteobacteria,PF05280,PF05280,0.09164255
Proteobacteria,PF05284,PF05284,0.3692675
unclassifiable,PF05292,CL0257,0.152654
LBCA,PF05299,CL0126,0.107477
PVC,PF05302,PF05302,0.02840635
Terrabacteria,PF05305,PF05305,0.1994685
Proteobacteria,PF05309,PF05309,0.1099913
TACK,PF05317,PF05317,0.10622005
Proteobacteria,PF05321,PF05321,0.175404
Terrabacteria,PF05331,CL0123,0.1944
LBCA,PF05336,CL0032,0.1964685
LUCA,PF05343,CL0105,0.1175305
LBCA,PF05345,CL0159,0.474329
LBCA,PF05359,CL0401,0.236391
LBCA,PF05360,PF05360,0.1470765
unclassifiable,PF05362,CL0329,0.07170605
LUCA,PF05368,CL0063,0.502562
unclassifiable,PF05369,CL0036,0.07217345
Euryarchaeota,PF05377,PF05377,0.05564815
LUCA,PF05378,CL0108,0.2301935
Terrabacteria,PF05384,PF05384,0.03745425
Terrabacteria,PF05389,PF05389,0.0452029
post-LBCA,PF05400,PF05400,0.1313745
LBCA,PF05401,CL0063,0.2043865
LUCA,PF05402,CL0123,0.2023385
Proteobacteria,PF05406,PF05406,0.17076
Terrabacteria,PF05419,PF05419,0.2400435
Proteobacteria,PF05420,CL0193,0.0929955
Terrabacteria,PF05421,PF05421,0.1420605
Terrabacteria,PF05423,PF05423,0.279324
Terrabacteria,PF05425,CL0430,0.1341075
LBCA,PF05426,CL0059,0.3071535
LBCA,PF05430,CL0063,0.1074003
post-LBCA,PF05433,CL0500,0.235256
unclassifiable,PF05437,PF05437,0.173999
Euryarchaeota,PF05440,PF05440,0.03403705
Proteobacteria,PF05443,CL0361,0.0802781
LBCA,PF05448,CL0028,0.227591
Proteobacteria,PF05472,PF05472,0.1043145
Terrabacteria,PF05481,PF05481,0.0618089
Proteobacteria,PF05484,CL0020,0.1001058
LBCA,PF05488,PF05488,0.360144
post-LBCA,PF05489,CL0187,0.2089515
unclassifiable,PF05491,CL0123,0.06372675
Proteobacteria,PF05494,CL0051,0.07302075
post-LBCA,PF05495,PF05495,0.198083
LBCA,PF05496,CL0023,0.07630575
Terrabacteria,PF05504,PF05504,0.3508595
post-LBCA,PF05506,PF05506,0.262806
LBCA,PF05509,CL0057,0.2531035
LBCA,PF05521,CL0504,0.2699125
LBCA,PF05523,CL0029,0.2050085
LBCA,PF05524,PF05524,0.10836
LBCA,PF05525,CL0062,0.16005
LBCA,PF05532,CL0406,0.213219
LBCA,PF05534,CL0057,0.279794
Terrabacteria,PF05542,PF05542,0.07977545
LBCA,PF05544,CL0288,0.209773
Proteobacteria,PF05545,PF05545,0.125542
LBCA,PF05547,CL0126,0.147671
LBCA,PF05552,PF05552,0.108693
LACA,PF05559,PF05559,0.06971855
unclassifiable,PF05565,PF05565,0.1345113
Proteobacteria,PF05567,CL0186,0.2339125
LBCA,PF05569,CL0126,0.1379205
LBCA,PF05572,CL0126,0.210009
LBCA,PF05573,CL0175,0.1091255
Proteobacteria,PF05576,CL0028,0.087531
Terrabacteria,PF05580,CL0124,0.05612005
Terrabacteria,PF05582,PF05582,0.04441095
LBCA,PF05591,PF05591,0.163238
LBCA,PF05592,CL0004,0.333389
LBCA,PF05593,PF05593,0.646813
post-LBCA,PF05594,CL0268,0.592628
Terrabacteria,PF05595,PF05595,0.089781
unclassifiable,PF05597,PF05597,0.06921245
LUCA,PF05598,PF05598,0.283448
LBCA,PF05610,PF05610,0.174346
unclassifiable,PF05618,CL0129,0.113721
post-LBCA,PF05621,CL0023,0.2478045
post-LBCA,PF05626,PF05626,0.08069795
post-LBCA,PF05630,PF05630,0.14368455
LBCA,PF05635,PF05635,0.448564
Terrabacteria,PF05636,CL0039,0.058718
LUCA,PF05638,PF05638,0.346237
Terrabacteria,PF05639,PF05639,0.0992134
post-LBCA,PF05643,CL0342,0.1773315
LBCA,PF05649,PF05649,0.1161357
Proteobacteria,PF05650,PF05650,0.1616
post-LBCA,PF05651,CL0165,0.1894305
Terrabacteria,PF05653,CL0184,0.08384215
LBCA,PF05656,PF05656,0.3332215
LBCA,PF05658,PF05658,0.612289
LBCA,PF05661,PF05661,0.1736035
post-LBCA,PF05662,PF05662,0.500382
unclassifiable,PF05670,CL0684,0.06560015
post-LBCA,PF05673,CL0023,0.085648
post-LBCA,PF05675,PF05675,0.155208
PVC,PF05677,CL0028,0.04227795
LBCA,PF05681,PF05681,0.09660615
LBCA,PF05683,PF05683,0.1110945
LBCA,PF05684,CL0064,0.1126457
LBCA,PF05685,CL0236,0.2714425
post-LBCA,PF05686,CL0113,0.15629895
LBCA,PF05690,CL0036,0.1135365
LBCA,PF05691,CL0036,0.0766425
LACA,PF05693,CL0113,0.06460285
post-LBCA,PF05694,CL0186,0.1525833
post-LBCA,PF05697,PF05697,0.04192825
LBCA,PF05698,CL0262,0.06161815
LBCA,PF05704,CL0110,0.2449435
post-LBCA,PF05706,CL0031,0.157871
unclassifiable,PF05707,CL0023,0.18167855
LBCA,PF05708,CL0125,0.262929
Terrabacteria,PF05709,CL0504,0.3615645
LUCA,PF05711,CL0063,0.500384
LBCA,PF05713,CL0057,0.2895805
LBCA,PF05717,PF05717,0.195599
Terrabacteria,PF05719,PF05719,0.197599
LBCA,PF05721,CL0029,0.407864
LBCA,PF05724,CL0063,0.153882
LUCA,PF05726,CL0029,0.2308635
Euryarchaeota,PF05727,PF05727,0.064721
LBCA,PF05728,CL0028,0.110501
unclassifiable,PF05729,CL0023,0.4067235
LBCA,PF05731,PF05731,0.1705625
LBCA,PF05732,CL0123,0.09451065
Terrabacteria,PF05737,CL0204,0.4448815
Terrabacteria,PF05738,CL0287,0.508427
LBCA,PF05742,CL0052,0.112516
PVC,PF05745,PF05745,0.0280661
LBCA,PF05746,CL0258,0.06244765
post-LBCA,PF05751,CL0488,0.08249655
Euryarchaeota,PF05753,CL0159,0.116881
LUCA,PF05762,CL0128,0.125535
Euryarchaeota,PF05763,CL0023,0.071555175
unclassifiable,PF05768,CL0172,0.0817434
LBCA,PF05787,CL0186,0.185187
unclassifiable,PF05800,PF05800,0.144165
LBCA,PF05816,PF05816,0.1380985
Proteobacteria,PF05818,PF05818,0.14451925
LBCA,PF05833,CL0303,0.04370435
LBCA,PF05834,CL0063,0.16227
LBCA,PF05838,CL0037,0.3305225
Proteobacteria,PF05840,CL0169,0.1202873
post-LBCA,PF05845,PF05845,0.1658745
Terrabacteria,PF05848,CL0123,0.04249865
post-LBCA,PF05853,CL0036,0.3136015
Euryarchaeota,PF05854,PF05854,0.0742975
post-LBCA,PF05857,CL0316,0.199269
LBCA,PF05860,CL0268,0.276228
post-LBCA,PF05861,PF05861,0.1576865
LBCA,PF05866,PF05866,0.202897
LBCA,PF05869,PF05869,0.1943005
Terrabacteria,PF05870,CL0116,0.239765
LUCA,PF05872,CL0023,0.134127
LBCA,PF05875,CL0192,0.196364
LBCA,PF05876,CL0023,0.2995805
unclassifiable,PF05889,CL0061,0.0755267
LBCA,PF05893,CL0099,0.1534885
post-LBCA,PF05896,CL0105,0.0617882
LBCA,PF05899,CL0029,0.2930235
post-LBCA,PF05901,PF05901,0.4020555
Terrabacteria,PF05908,CL0105,0.1464601
Terrabacteria,PF05913,CL0475,0.1813765
LACA,PF05916,PF05916,0.0253328
LBCA,PF05922,CL0570,0.2014915
Proteobacteria,PF05926,PF05926,0.10908935
Proteobacteria,PF05929,PF05929,0.1146125
LBCA,PF05930,CL0123,0.456164
post-LBCA,PF05932,CL0097,0.1105117
LBCA,PF05935,CL0186,0.195254
LBCA,PF05936,PF05936,0.1315605
Proteobacteria,PF05939,PF05939,0.1298213
LBCA,PF05940,CL0714,0.1928245
TACK,PF05942,CL0291,0.1315785
post-LBCA,PF05943,PF05943,0.1603285
Proteobacteria,PF05944,PF05944,0.1497392
post-LBCA,PF05947,PF05947,0.12357865
Terrabacteria,PF05949,PF05949,0.03145735
Proteobacteria,PF05951,CL0170,0.1280445
LBCA,PF05954,CL0504,0.2451
Proteobacteria,PF05957,CL0406,0.126154
post-LBCA,PF05958,CL0063,0.08386115
LBCA,PF05960,CL0126,0.1882405
post-LBCA,PF05962,CL0029,0.210516
Terrabacteria,PF05969,PF05969,0.121346
LBCA,PF05970,CL0023,0.112727
post-LBCA,PF05971,CL0063,0.169405
LBCA,PF05973,CL0136,0.3201515
LBCA,PF05974,CL0044,0.1586295
Terrabacteria,PF05975,PF05975,0.07221365
LBCA,PF05977,CL0015,0.274255
Terrabacteria,PF05979,PF05979,0.1081915
Proteobacteria,PF05981,PF05981,0.1372715
LBCA,PF05982,CL0064,0.1970865
LBCA,PF05985,PF05985,0.163199
post-LBCA,PF05987,PF05987,0.1710455
LBCA,PF05988,CL0172,0.392627
LBCA,PF05990,CL0028,0.2598275
Terrabacteria,PF05991,CL0280,0.04738265
Proteobacteria,PF05992,CL0241,0.1718445
unclassifiable,PF05995,CL0029,0.1444725
unclassifiable,PF05996,PF05996,0.1581965
Proteobacteria,PF06004,CL0010,0.110328
Proteobacteria,PF06005,CL0225,0.035743
post-LBCA,PF06007,PF06007,0.13822
Terrabacteria,PF06013,CL0352,0.2029905
Terrabacteria,PF06014,PF06014,0.1086045
Terrabacteria,PF06018,CL0161,0.05018125
LACA,PF06023,CL0236,0.118628
unclassifiable,PF06026,CL0063,0.08773965
post-LBCA,PF06028,CL0028,0.1248046
post-LBCA,PF06029,CL0407,0.172518
post-LBCA,PF06030,CL0159,0.1924475
LBCA,PF06032,PF06032,0.2125145
post-LBCA,PF06035,CL0125,0.132301
unclassifiable,PF06037,PF06037,0.120222
unclassifiable,PF06039,CL0063,0.13899325
post-LBCA,PF06041,CL0020,0.22409
LBCA,PF06042,CL0260,0.169018
LBCA,PF06044,CL0236,0.208824
LBCA,PF06048,CL0023,0.263125
LBCA,PF06050,CL0108,0.231853
Terrabacteria,PF06051,PF06051,0.2756295
post-LBCA,PF06052,CL0029,0.145948
TACK,PF06053,CL0172,0.042014955
LBCA,PF06054,CL0236,0.165282
LBCA,PF06055,PF06055,0.168717
LBCA,PF06056,CL0123,0.190441
post-LBCA,PF06057,CL0028,0.1470285
