organisms,Organism Groups,Assembly,Size(Mb),GC%
Bordetella holmesii,Bacteria;Proteobacteria;Betaproteobacteria,GCA_009627355.1,3.69658,62.7
Pseudomonas kilonensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900105635.1,6.41538,60.8
Catenovulum agarivorans YM01,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000281085.1,5.03268,40
Paenibacillus sonchi X19-5,Bacteria;Terrabacteria group;Firmicutes,GCA_000316285.1,7.50728,50.4
Bacillus psychrosaccharolyticus ATCC 23296,Bacteria;Terrabacteria group;Firmicutes,GCA_000305495.2,4.59045,38.8
Rickettsia honei RB,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000263055.1,1.26876,32.4
Methanomassiliicoccus luminyensis B10,Archaea;Euryarchaeota;Diaforarchaea group,GCA_000308215.1,2.62023,60.5
Allobaculum stercoricanis DSM 13633,Bacteria;Terrabacteria group;Firmicutes,GCA_000384195.1,2.05288,37.8
Deferrisoma camini S3R1,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000526155.1,4.23655,70.1
Oribacterium sinus F0268,Bacteria;Terrabacteria group;Firmicutes,GCA_000160635.1,2.70695,43.1
Alcanivorax hongdengensis A-11-3,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000300995.1,3.66488,60.7
Kosakonia radicincitans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001887675.1,5.68768,54
Alcanivorax jadensis T9,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000756655.1,3.62937,58.4
Bacillus siamensis KCTC 13613,Bacteria;Terrabacteria group;Firmicutes,GCA_000262045.1,3.7797,46.3
Methylosarcina lacus LW14,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000527095.1,4.38492,54.7
Amycolatopsis alba DSM 44262,Bacteria;Terrabacteria group;Actinobacteria,GCA_000384215.1,9.81127,68.7
Thalassospira profundimaris WP0211,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000300275.1,4.38023,55.2
Thalassospira xiamenensis M-5 = DSM 17429,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900156715.1,4.68795,54.7
Thalassospira lucentensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001613805.1,4.55459,54.9
Thalassospira tepidiphila,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_011927685.1,4.40825,54.9
Thalassospira xianhensis MCCC 1A02616,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003326475.1,5.16967,54.4
Staphylococcus lentus,Bacteria;Terrabacteria group;Firmicutes,GCA_001651345.1,2.69719,31.8
Lysinibacillus boronitolerans JCM 21713 = 10a = NBRC 103108,Bacteria;Terrabacteria group;Firmicutes,GCA_002200915.1,4.56415,37.6
Streptomyces tsukubensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_003932715.1,8.01955,71.891
Bacillus altitudinis,Bacteria;Terrabacteria group;Firmicutes,GCA_000972685.1,3.74512,41.4
Bacillus safensis,Bacteria;Terrabacteria group;Firmicutes,GCA_001043695.1,3.67101,41.6
Azorhizobium doebereinerae UFLA1-100,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000473085.1,5.81751,68.9
Flavobacterium antarcticum DSM 19726,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000419685.1,3.07904,35
Massilia alkalitolerans DSM 17462,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000427785.1,6.11168,65.3
Ignatzschineria larvae DSM 13226,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000510805.1,2.4598,40.5
Alicyclobacillus pomorum DSM 14955,Bacteria;Terrabacteria group;Firmicutes,GCA_000472905.1,3.39856,53.7
Thermocrispum municipale DSM 44069,Bacteria;Terrabacteria group;Actinobacteria,GCA_000427825.1,4.52642,68.9
Corynebacterium sputi DSM 45148,Bacteria;Terrabacteria group;Actinobacteria,GCA_000427865.1,2.91768,61.5
Glycomyces tenuis DSM 44171,Bacteria;Terrabacteria group;Actinobacteria,GCA_000427885.1,5.73529,70.4
Budvicia aquatica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002591785.1,5.94649,45.9
Thermocrispum agreste DSM 44070,Bacteria;Terrabacteria group;Actinobacteria,GCA_000427905.1,4.19609,69.9
Mastigocoleus testarum BC008,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_001456025.1,12.7002,37.3
Calothrix sp. PCC 6303,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000317435.1,6.96039,39.8015
Pleurocapsa sp. PCC 7327,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000317025.1,4.98682,45.2
Agrobacterium deltaense RV3,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900013505.1,5.28396,59.7
Agrobacterium fabrum,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900100235.1,5.58296,59.1
Agrobacterium salinitolerans str. Hayward 0363,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900012565.1,4.67916,59.4
Paraburkholderia mimosarum LMG 23256 = NBRC 106338,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000472825.1,8.41097,63.9
Bdellovibrio exovorus JSS,Bacteria;Proteobacteria;Oligoflexia,GCA_000348725.1,2.65789,41.9
Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000236405.1,0.609561,23.8419
Granulicella tundricola MP5ACTX9,Bacteria;Acidobacteria;Acidobacteriia,GCA_000178975.2,5.50398,59.968
Enterovibrio norvegicus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002877015.1,5.52634,47.7
Planococcus antarcticus DSM 14505,Bacteria;Terrabacteria group;Firmicutes,GCA_001687565.2,3.80462,43.1411
Austwickia chelonae,Bacteria;Terrabacteria group;Actinobacteria,GCA_900111385.1,3.54434,66.2
Kineosphaera limosa,Bacteria;Terrabacteria group;Actinobacteria,GCA_013409325.1,4.94465,70.4
Hydrogenovibrio halophilus DSM 15072,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000384235.1,2.35669,54.9
Corynebacterium lubricantis DSM 45231,Bacteria;Terrabacteria group;Actinobacteria,GCA_000379425.1,2.94417,58.6
Olivibacter sitiensis DSM 17696,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000427965.1,5.05357,44.6
Sciscionella marina DSM 45152,Bacteria;Terrabacteria group;Actinobacteria,GCA_000379465.1,8.53645,67.8
Wenxinia marina DSM 24838,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000836695.1,4.18093,70.5048
Halosimplex carlsbadense 2-9-1,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000337455.1,4.69489,67.7
Lamprocystis purpurea DSM 4197,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000379525.1,6.90874,64.3
Mycoplasma auris 15026,Bacteria;Terrabacteria group;Tenericutes,GCA_000367765.1,0.767867,27.2
Haemophilus parahaemolyticus HK385,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900450675.1,2.0962,40.3
Mycoplasma bovigenitalium,Bacteria;Terrabacteria group;Tenericutes,GCA_002356075.1,0.853553,29.1
Mycoplasma alkalescens,Bacteria;Terrabacteria group;Tenericutes,GCA_900476125.1,0.821059,25.7
Mycoplasma arginini,Bacteria;Terrabacteria group;Tenericutes,GCA_001547975.1,0.678592,26.4
Ureaplasma diversum NCTC 246,Bacteria;Terrabacteria group;Tenericutes,GCA_000731915.1,1.0112,28.1
Rhodocyclus tenuis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_011881425.1,2.98085,64.5
Bacillus marmarensis DSM 21297,Bacteria;Terrabacteria group;Firmicutes,GCA_000474275.2,4.02059,39.8
Gluconobacter frateurii,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002723955.1,3.30938,56.1
Rhodobacter blasticus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003071405.1,3.70609,66.4219
Capnocytophaga cynodegmi,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_002302475.1,2.64047,34.3
Enterovibrio calviensis DSM 14347,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000621165.1,5.50335,47.5
Rhodothalassium salexigens DSM 2132,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004341375.1,3.35876,68.6
Vibrio rumoiensis 1S-45,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000286955.2,3.4475,41.1
Cereibacter changlensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003254335.1,4.92436,68
Vibrio breoganii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002876585.1,4.04674,45.1
Rhodobacter veldkampii DSM 11550,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003034995.1,3.26445,65.1
Rhodobaca bogoriensis DSM 18756,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004366635.1,3.90876,59
Rhodovulum sulfidophilum,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001633145.1,4.19649,66.8568
Rhodovulum marinum,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004343075.1,3.94857,67.2
Nitratireductor aquibiodomus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001696575.1,4.49016,61.5
Indibacter alkaliphilus LW1,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000295935.2,5.03605,39.7
Staphylococcus massiliensis CCUG 55927,Bacteria;Terrabacteria group;Firmicutes,GCA_000298075.1,2.36659,36.7
Myxococcus macrosporus DSM 14697,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_002305895.1,8.97351,70.6
Psychroflexus gondwanensis ACAM 44,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000355905.1,3.31177,35.8
Nitritalea halalkaliphila LW7,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000265075.1,3.6337,48.6
Vibrio kanaloae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_008801285.1,4.58012,43.8
Vibrio crassostreae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004342955.1,5.24495,44.3
Vibrio tasmaniensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001675865.1,5.5508,44
Aliivibrio logei,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001691055.1,4.638,39
Sphingobium xenophagum QYY,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000277525.1,4.22111,63.1
Acinetobacter venetianus RAG-1 = CIP 110063,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000368585.1,3.45826,39.1
Melioribacter roseus P3M-2,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000279145.1,3.30041,41.3
Chondromyces apiculatus DSM 436,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000601485.1,11.5777,70.3
Granulosicoccus antarcticus IMCC3135,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002215215.1,7.78386,52.9
Leptospira meyeri,Bacteria;Spirochaetes;Spirochaetia,GCA_002811905.1,4.12773,38.1
Leptospira fainei serovar Hurstbridge str. BUT 6,Bacteria;Spirochaetes;Spirochaetia,GCA_000306235.2,4.28732,43.5
Leptospira wolffii,Bacteria;Spirochaetes;Spirochaetia,GCA_004770635.1,4.17368,45.9
Alkalibacillus haloalkaliphilus,Bacteria;Terrabacteria group;Firmicutes,GCA_007991275.1,2.88297,37.3
Sulfurospirillum halorespirans DSM 13726,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_001723605.1,3.02984,41.3
Pseudomonas alcaliphila NBRC 102411,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002091495.1,5.32727,62.9
Microbacterium yannicii PS01,Bacteria;Terrabacteria group;Actinobacteria,GCA_000304335.1,3.9525,69.5
Mycolicibacterium vaccae 95051,Bacteria;Terrabacteria group;Actinobacteria,GCA_001655245.1,6.23575,68.6
Rhodococcus wratislaviensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_900455735.1,7.77738,67.4
Alishewanella agri BL06,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000272005.1,3.49171,50.6
Xanthomonas translucens pv. undulosa,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001021935.1,4.56114,68.1
Snodgrassella alvi,Bacteria;Proteobacteria;Betaproteobacteria,GCA_002019415.1,2.4985,41
Streptococcus massiliensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900459365.1,2.03387,41.6
Virgibacillus halodenitrificans 1806,Bacteria;Terrabacteria group;Firmicutes,GCA_000294755.1,3.92055,37.4
Bacillus endophyticus,Bacteria;Terrabacteria group;Firmicutes,GCA_003269955.1,5.31896,36.4
Bacillus oceanisediminis 2691,Bacteria;Terrabacteria group;Firmicutes,GCA_000294775.2,5.84861,40.8428
Aeribacillus pallidus,Bacteria;Terrabacteria group;Firmicutes,GCA_000948185.1,4.98586,57.4
Marinobacter lipolyticus SM19,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000397065.2,4.02001,56.8
Alishewanella aestuarii B11,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000280055.1,3.58805,51
Microbacterium barkeri 2011-R4,Bacteria;Terrabacteria group;Actinobacteria,GCA_000299315.2,3.62787,69.2
Paraburkholderia terrae,Bacteria;Proteobacteria;Betaproteobacteria,GCA_002902925.1,10.0625,61.9388
Fictibacillus macauensis ZFHKF-1,Bacteria;Terrabacteria group;Firmicutes,GCA_000269865.1,3.73636,40.6
Pseudomonas marginalis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000967935.1,6.68033,60.5
Thermoanaerobacter thermohydrosulfuricus,Bacteria;Terrabacteria group;Firmicutes,GCA_900102395.1,2.68359,34.1
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000382445.1,4.64621,42.8
Acinetobacter baylyi ADP1,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000046845.1,3.59862,40.4
Alicyclobacillus hesperidum,Bacteria;Terrabacteria group;Firmicutes,GCA_900107035.1,2.8597,53.9
Corynebacterium terpenotabidum Y-11,Bacteria;Terrabacteria group;Actinobacteria,GCA_000418365.1,2.75123,67
Moritella dasanensis ArB 0140,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000276805.1,4.88958,40.8
Rhizobium giardinii bv. giardinii H152,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000379605.1,6.81013,60.7
Rhizobium sullae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002812325.1,7.29818,59.9
Rhizobium mongolense USDA 1844,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_007827505.1,7.29554,59.5
Actinomycetospora chiangmaiensis DSM 45062,Bacteria;Terrabacteria group;Actinobacteria,GCA_000379625.1,5.86108,74
Actinoplanes globisporus DSM 43857,Bacteria;Terrabacteria group;Actinobacteria,GCA_000379645.1,10.9885,70.9
Amycolatopsis taiwanensis DSM 45107,Bacteria;Terrabacteria group;Actinobacteria,GCA_000519205.1,8.77751,68.5
Catelliglobosispora koreensis DSM 44566,Bacteria;Terrabacteria group;Actinobacteria,GCA_000379685.1,7.68859,64.4
Corynebacterium capitovis DSM 44611,Bacteria;Terrabacteria group;Actinobacteria,GCA_000372085.1,1.96087,64.5
Corynebacterium caspium DSM 44850,Bacteria;Terrabacteria group;Actinobacteria,GCA_000379705.1,1.84368,49.7
Corynebacterium ciconiae DSM 44920,Bacteria;Terrabacteria group;Actinobacteria,GCA_000372385.1,2.54557,62.1
Corynebacterium doosanense CAU 212 = DSM 45436,Bacteria;Terrabacteria group;Actinobacteria,GCA_000767055.1,2.699,66.7345
Corynebacterium ulceribovis DSM 45146,Bacteria;Terrabacteria group;Actinobacteria,GCA_000372445.1,2.30045,59.2
Cytophaga aurantiaca DSM 3654,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000379725.1,4.42513,37.1
Flexithrix dorotheae DSM 6795,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000379765.1,9.53682,36.3
Caldibacillus debilis DSM 16016,Bacteria;Terrabacteria group;Firmicutes,GCA_000383875.1,3.05952,51.6
Paraburkholderia nodosa,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001718195.1,8.61403,64.2
Butyricimonas synergistica DSM 23225,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000379665.1,4.77084,44.8
Kribbella catacumbae DSM 19601,Bacteria;Terrabacteria group;Actinobacteria,GCA_000372465.1,9.62781,67.5
Lewinella cohaerens DSM 23179,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000379805.1,7.29882,45
Flavilitoribacter nigricans DSM 23189 = NBRC 102662,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_002646595.1,11.3324,51
Limimaricola hongkongensis DSM 17492,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000365005.1,3.18591,68.4
Longispora albida DSM 44784,Bacteria;Terrabacteria group;Actinobacteria,GCA_000379825.1,6.82124,70.3
Moraxella boevrei DSM 14165,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000379845.1,2.42721,40.1
Mycolicibacterium hassiacum DSM 44199,Bacteria;Terrabacteria group;Actinobacteria,GCA_900603025.1,5.2691,69.3
Nonomuraea coxensis DSM 45129,Bacteria;Terrabacteria group;Actinobacteria,GCA_000379885.1,8.99645,72.2
Oligella urethralis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_900454275.1,2.46878,46.4
Pasteurella langaaensis DSM 22999,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003096995.1,1.98969,40.9
Rodentibacter pneumotropicus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001998505.1,2.307,39.8
Porphyromonas levii DSM 23370,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000379925.1,2.51648,45.7
Porphyromonas macacae DSM 20710 = JCM 13914,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000379945.1,2.21453,43.6
Porphyromonas somerae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001553215.1,2.35538,55.5
Prevotella nanceiensis DSM 19126 = JCM 15639,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000379965.1,2.65011,38.4
Shimazuella kribbensis DSM 45090,Bacteria;Terrabacteria group;Firmicutes,GCA_000428065.1,4.1851,38.4
Streptococcus caballi DSM 19004,Bacteria;Terrabacteria group;Firmicutes,GCA_000379985.1,2.12204,40.4
Streptococcus didelphis DSM 15616,Bacteria;Terrabacteria group;Firmicutes,GCA_000380005.1,1.87744,35.8
Streptococcus entericus DSM 14446,Bacteria;Terrabacteria group;Firmicutes,GCA_000380025.1,2.03647,44.6
Streptococcus merionis,Bacteria;Terrabacteria group;Firmicutes,GCA_900187085.1,2.38413,41.8
Streptococcus orisratti DSM 15617,Bacteria;Terrabacteria group;Firmicutes,GCA_000380105.1,2.41613,38.5
Streptococcus ovis DSM 16829,Bacteria;Terrabacteria group;Firmicutes,GCA_000380125.1,2.35854,40.1
Streptococcus thoraltensis DSM 12221,Bacteria;Terrabacteria group;Firmicutes,GCA_000380145.1,2.38522,38.4
Embleya scabrispora,Bacteria;Terrabacteria group;Actinobacteria,GCA_002024165.1,10.9584,71.6
Thiolinea disciformis DSM 14473,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000371925.1,3.92395,45.1
Streptomyces vitaminophilus DSM 41686,Bacteria;Terrabacteria group;Actinobacteria,GCA_000380165.1,6.42989,72
Streptococcus ferus,Bacteria;Terrabacteria group;Firmicutes,GCA_900475025.1,1.87231,42.8
Streptococcus marimammalium DSM 18627,Bacteria;Terrabacteria group;Firmicutes,GCA_000380045.1,1.50544,33.2
Thiofilum flexile DSM 14609,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000380185.1,3.78763,44.4
Acetobacterium dehalogenans DSM 11527,Bacteria;Terrabacteria group;Firmicutes,GCA_000472665.1,4.05007,43.8
Methylocystis rosea,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_009685175.1,3.79546,62.7033
Methylosarcina fibrata AML-C10,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000372865.1,4.97846,54.1
Afipia massiliensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001006325.2,4.4952,61.4
Afipia birgiae 34632,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000308295.2,5.33415,60.8
Lysinibacillus massiliensis 4400831 = CIP 108448 = CCUG 49529,Bacteria;Terrabacteria group;Firmicutes,GCA_002200855.1,3.99991,34.7
Corynebacterium timonense,Bacteria;Terrabacteria group;Actinobacteria,GCA_900105305.1,2.63319,66.6
Methyloferula stellata AR4,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000385335.1,4.23545,59.5
Corynebacterium halotolerans YIM 70093 = DSM 44683,Bacteria;Terrabacteria group;Actinobacteria,GCA_000341345.1,3.22201,68.2608
Moritella marina ATCC 15381,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_008931805.1,4.76042,40.6858
Methanoculleus bourgensis MS2,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000304355.2,2.78977,60.6
Fibrisoma limi BUZ 3,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000296815.2,7.62697,52.7125
Helcobacillus massiliensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001403775.1,2.232,63.4
Paenibacillus massiliensis 2301065 = DSM 16942,Bacteria;Terrabacteria group;Firmicutes,GCA_000377505.1,6.3858,48.5
Paenibacillus sanguinis 2301083 = DSM 16941,Bacteria;Terrabacteria group;Firmicutes,GCA_000374825.1,4.80414,49.3
Paenibacillus timonensis,Bacteria;Terrabacteria group;Firmicutes,GCA_009725205.1,5.12608,52.6
Lactobacillus hominis DSM 23910 = CRBIP 24.179,Bacteria;Terrabacteria group;Firmicutes,GCA_000296835.1,1.92813,35.1
Lactobacillus gigeriorum DSM 23908 = CRBIP 24.85,Bacteria;Terrabacteria group;Firmicutes,GCA_001436575.1,1.90603,36.9
Reyranella massiliensis 521,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000312425.1,5.79226,64.8
Lactobacillus pasteurii DSM 23907 = CRBIP 24.76,Bacteria;Terrabacteria group;Firmicutes,GCA_000297025.1,1.9054,38.6
Bartonella rattaustraliani AUST/NH4,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000312565.2,2.15844,38.8
Terrisporobacter glycolicus,Bacteria;Terrabacteria group;Firmicutes,GCA_900114105.1,3.98543,28.6
Treponema maltophilum ATCC 51939,Bacteria;Spirochaetes;Spirochaetia,GCA_000413055.1,2.53039,47.9
Treponema medium ATCC 700293,Bacteria;Spirochaetes;Spirochaetia,GCA_000413035.1,2.72751,44.3
Halomonas titanicae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_006542315.2,5.32741,54.6
Nocardiopsis alba,Bacteria;Terrabacteria group;Actinobacteria,GCA_000710955.1,5.86111,69.7
Rhizobium gallicum bv. gallicum R602sp,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000373025.1,7.22024,60.8
Leptotrichia shahii,Bacteria;Fusobacteria;Fusobacteriia,GCA_008327825.1,2.16117,29.6916
Lewinella persica DSM 23188,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000373105.1,7.08277,51.6
Calidithermus timidus DSM 17022,Bacteria;Terrabacteria group;Deinococcus-Thermus,GCA_000373205.1,3.19063,65.3
Echinicola pacifica DSM 19836,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000373245.1,5.4422,43.8
Pontibacter roseus DSM 17521,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000373265.1,4.58148,52.7
Thiobacillus thioparus DSM 505,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000373385.1,3.20152,62.3
Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000495775.1,5.00554,58.4
Desulfurispora thermophila DSM 16022,Bacteria;Terrabacteria group;Firmicutes,GCA_000376385.1,2.82158,55.2
Alkalispirochaeta alkalica DSM 8900,Bacteria;Spirochaetes;Spirochaetia,GCA_000373545.1,3.35831,60.5
Thiomicrorhabdus chilensis DSM 12352,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000483485.1,2.44303,48.1
Prevotella paludivivens DSM 17968 = JCM 13650,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000373185.1,3.45583,37.3
Porphyromonas bennonis DSM 23058 = JCM 16335,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000375645.1,2.02324,56.3
Acinetobacter bouvetii DSM 14964 = CIP 107468,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000368865.1,3.38882,45
Bacteroides propionicifaciens DSM 19291 = JCM 14649,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000375405.1,2.63469,38
Oligella ureolytica,Bacteria;Proteobacteria;Betaproteobacteria,GCA_900454285.1,2.83849,44.9
Legionella shakespearei DSM 23087,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000373765.1,3.51268,41.7
Pasteurella testudinis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900454705.1,3.02958,47.2
Erysipelothrix tonsillarum DSM 14972,Bacteria;Terrabacteria group;Firmicutes,GCA_000373785.1,1.93102,36.8
Corynebacterium pilosum,Bacteria;Terrabacteria group;Actinobacteria,GCA_900447205.1,2.59365,60.7
Thermus igniterrae ATCC 700962,Bacteria;Terrabacteria group;Deinococcus-Thermus,GCA_000376265.1,2.22598,68.8
Blautia producta,Bacteria;Terrabacteria group;Firmicutes,GCA_004210255.1,6.35484,45.6
Corynebacterium mastitidis DSM 44356,Bacteria;Terrabacteria group;Actinobacteria,GCA_000375365.1,2.37,69
Actinopolymorpha alba DSM 45243,Bacteria;Terrabacteria group;Actinobacteria,GCA_000373925.1,7.98371,67.9
Corynebacterium propinquum,Bacteria;Terrabacteria group;Actinobacteria,GCA_001053555.1,2.52139,56.5
Wohlfahrtiimonas chitiniclastica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002252325.1,2.13611,43.6
Uliginosibacterium gangwonense DSM 18521,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000373965.1,5.02171,56.6
Gracilimonas tropica DSM 19535,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000375425.1,3.83124,42.9
Kiloniella laminariae DSM 19542,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000374005.1,4.43894,51.4
Spirosoma panaciterrae DSM 21099,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000374025.1,8.12928,48.9
Segetibacter koreensis DSM 18137,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000374045.1,6.10789,37.4
Balneola vulgaris DSM 17893,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000375465.1,2.85775,39.8
Spirosoma luteum DSM 19990,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000374065.1,6.61358,50.7
Spirosoma spitsbergense DSM 19989,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000374085.1,7.54798,50.4
Kangiella aquimarina DSM 16071,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000374105.1,2.6818,43.7
Niabella aurantiaca DSM 17617,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000374125.1,5.92744,48.6
Neomegalonema perideroedes DSM 15528,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000374145.1,3.40995,67.2
Desulfobacter curvatus DSM 3379,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000373985.1,5.64428,46.9
